day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,7,5,3.5,2020-01-23
2,18,11,2.571,2020-01-24
3,18,0,1.0,2020-01-25
4,36,18,2.0,2020-01-26
5,72,36,2.0,2020-01-27
6,109,37,1.513,2020-01-28
7,109,0,1.0,2020-01-29
8,162,53,1.486,2020-01-30
9,240,78,1.481,2020-01-31
10,286,46,1.191,2020-02-01
11,333,47,1.164,2020-02-02
12,391,58,1.174,2020-02-03
13,476,85,1.217,2020-02-04
14,548,72,1.151,2020-02-05
15,600,52,1.094,2020-02-06
16,661,61,1.101,2020-02-07
17,698,37,1.055,2020-02-08
18,740,42,1.060,2020-02-09
19,771,31,1.041,2020-02-10
20,804,33,1.042,2020-02-11
21,844,40,1.049,2020-02-12
22,872,28,1.033,2020-02-13
23,900,28,1.032,2020-02-14
24,913,13,1.014,2020-02-15
25,925,12,1.013,2020-02-16
26,930,5,1.005,2020-02-17
27,933,3,1.003,2020-02-18
28,934,1,1.001,2020-02-19
29,934,0,1.0,2020-02-20
30,934,0,1.0,2020-02-21
31,934,0,1.0,2020-02-22
32,934,0,1.0,2020-02-23
33,934,0,1.0,2020-02-24
34,934,0,1.0,2020-02-25
35,934,0,1.0,2020-02-26
36,934,0,1.0,2020-02-27
37,935,1,1.001,2020-02-28
38,935,0,1.0,2020-02-29
39,935,0,1.0,2020-03-01
40,935,0,1.0,2020-03-02
41,935,0,1.0,2020-03-03
42,935,0,1.0,2020-03-04
43,935,0,1.0,2020-03-05
44,935,0,1.0,2020-03-06
45,935,0,1.0,2020-03-07
46,935,0,1.0,2020-03-08
47,935,0,1.0,2020-03-09
48,935,0,1.0,2020-03-10
49,935,0,1.0,2020-03-11
50,935,0,1.0,2020-03-12
51,935,0,1.0,2020-03-13
52,935,0,1.0,2020-03-14
53,935,0,1.0,2020-03-15
54,935,0,1.0,2020-03-16
55,935,0,1.0,2020-03-17
56,935,0,1.0,2020-03-18
57,935,0,1.0,2020-03-19
58,935,0,1.0,2020-03-20
59,935,0,1.0,2020-03-21
60,936,1,1.001,2020-03-22
61,936,0,1.0,2020-03-23
