day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,3,1,1.5,2020-01-23
2,4,1,1.333,2020-01-24
3,17,13,4.25,2020-01-25
4,21,4,1.235,2020-01-26
5,27,6,1.285,2020-01-27
6,34,7,1.259,2020-01-28
7,39,5,1.147,2020-01-29
8,41,2,1.051,2020-01-30
9,48,7,1.170,2020-01-31
10,64,16,1.333,2020-02-01
11,70,6,1.093,2020-02-02
12,74,4,1.057,2020-02-03
13,81,7,1.094,2020-02-04
14,89,8,1.098,2020-02-05
15,94,5,1.056,2020-02-06
16,99,5,1.053,2020-02-07
17,105,6,1.060,2020-02-08
18,107,2,1.019,2020-02-09
19,108,1,1.009,2020-02-10
20,111,3,1.027,2020-02-11
21,116,5,1.045,2020-02-12
22,117,1,1.008,2020-02-13
23,119,2,1.017,2020-02-14
24,119,0,1.0,2020-02-15
25,121,2,1.016,2020-02-16
26,121,0,1.0,2020-02-17
27,121,0,1.0,2020-02-18
28,121,0,1.0,2020-02-19
29,121,0,1.0,2020-02-20
30,121,0,1.0,2020-02-21
31,121,0,1.0,2020-02-22
32,121,0,1.0,2020-02-23
33,121,0,1.0,2020-02-24
34,121,0,1.0,2020-02-25
35,121,0,1.0,2020-02-26
36,121,0,1.0,2020-02-27
37,121,0,1.0,2020-02-28
38,121,0,1.0,2020-02-29
39,122,1,1.008,2020-03-01
40,122,0,1.0,2020-03-02
41,125,3,1.024,2020-03-03
42,125,0,1.0,2020-03-04
43,125,0,1.0,2020-03-05
44,125,0,1.0,2020-03-06
45,125,0,1.0,2020-03-07
46,125,0,1.0,2020-03-08
47,125,0,1.0,2020-03-09
48,125,0,1.0,2020-03-10
49,125,0,1.0,2020-03-11
50,125,0,1.0,2020-03-12
51,125,0,1.0,2020-03-13
52,125,0,1.0,2020-03-14
53,125,0,1.0,2020-03-15
54,125,0,1.0,2020-03-16
55,125,0,1.0,2020-03-17
