day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,2,1,2.0,2020-01-23
2,2,0,1.0,2020-01-24
3,2,0,1.0,2020-01-25
4,5,3,2.5,2020-01-26
5,6,1,1.2,2020-01-27
6,7,1,1.166,2020-01-28
7,7,0,1.0,2020-01-29
8,7,0,1.0,2020-01-30
9,7,0,1.0,2020-01-31
10,7,0,1.0,2020-02-01
11,8,1,1.142,2020-02-02
12,8,0,1.0,2020-02-03
13,10,2,1.25,2020-02-04
14,10,0,1.0,2020-02-05
15,10,0,1.0,2020-02-06
16,10,0,1.0,2020-02-07
17,10,0,1.0,2020-02-08
18,10,0,1.0,2020-02-09
19,10,0,1.0,2020-02-10
20,10,0,1.0,2020-02-11
21,10,0,1.0,2020-02-12
22,10,0,1.0,2020-02-13
23,10,0,1.0,2020-02-14
24,10,0,1.0,2020-02-15
25,10,0,1.0,2020-02-16
26,10,0,1.0,2020-02-17
27,10,0,1.0,2020-02-18
28,10,0,1.0,2020-02-19
29,10,0,1.0,2020-02-20
30,10,0,1.0,2020-02-21
31,10,0,1.0,2020-02-22
32,10,0,1.0,2020-02-23
33,10,0,1.0,2020-02-24
34,10,0,1.0,2020-02-25
35,10,0,1.0,2020-02-26
36,10,0,1.0,2020-02-27
37,10,0,1.0,2020-02-28
38,10,0,1.0,2020-02-29
39,10,0,1.0,2020-03-01
40,10,0,1.0,2020-03-02
41,10,0,1.0,2020-03-03
42,10,0,1.0,2020-03-04
43,10,0,1.0,2020-03-05
44,10,0,1.0,2020-03-06
45,10,0,1.0,2020-03-07
46,10,0,1.0,2020-03-08
47,10,0,1.0,2020-03-09
48,10,0,1.0,2020-03-10
49,10,0,1.0,2020-03-11
50,10,0,1.0,2020-03-12
51,10,0,1.0,2020-03-13
52,10,0,1.0,2020-03-14
53,10,0,1.0,2020-03-15
54,11,1,1.1,2020-03-16
55,12,1,1.090,2020-03-17
56,15,3,1.25,2020-03-18
57,17,2,1.133,2020-03-19
58,17,0,1.0,2020-03-20
59,18,1,1.058,2020-03-21
60,24,6,1.333,2020-03-22
61,24,0,1.0,2020-03-23
62,25,1,1.041,2020-03-24
63,30,5,1.2,2020-03-25
64,31,1,1.033,2020-03-26
65,33,2,1.064,2020-03-27
66,37,4,1.121,2020-03-28
67,37,0,1.0,2020-03-29
68,38,1,1.027,2020-03-30
69,41,3,1.078,2020-03-31
70,41,0,1.0,2020-04-01
71,41,0,1.0,2020-04-02
72,43,2,1.048,2020-04-03
73,43,0,1.0,2020-04-04
74,44,1,1.023,2020-04-05
75,44,0,1.0,2020-04-06
76,44,0,1.0,2020-04-07
77,45,1,1.022,2020-04-08
78,45,0,1.0,2020-04-09
79,45,0,1.0,2020-04-10
80,45,0,1.0,2020-04-11
81,45,0,1.0,2020-04-12
82,45,0,1.0,2020-04-13
83,45,0,1.0,2020-04-14
84,45,0,1.0,2020-04-15
85,45,0,1.0,2020-04-16
86,45,0,1.0,2020-04-17
87,45,0,1.0,2020-04-18
88,45,0,1.0,2020-04-19
89,45,0,1.0,2020-04-20
90,45,0,1.0,2020-04-21
91,45,0,1.0,2020-04-22
92,45,0,1.0,2020-04-23
