day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,2,1,2.0,2020-01-24
3,3,1,1.5,2020-01-25
4,4,1,1.333,2020-01-26
5,7,3,1.75,2020-01-27
6,11,4,1.571,2020-01-28
7,12,1,1.090,2020-01-29
8,17,5,1.416,2020-01-30
9,21,4,1.235,2020-01-31
10,26,5,1.238,2020-02-01
11,28,2,1.076,2020-02-02
12,31,3,1.107,2020-02-03
13,34,3,1.096,2020-02-04
14,34,0,1.0,2020-02-05
15,40,6,1.176,2020-02-06
16,43,3,1.075,2020-02-07
17,45,2,1.046,2020-02-08
18,45,0,1.0,2020-02-09
19,49,4,1.088,2020-02-10
20,53,4,1.081,2020-02-11
21,58,5,1.094,2020-02-12
22,64,6,1.103,2020-02-13
23,67,3,1.046,2020-02-14
24,70,3,1.044,2020-02-15
25,70,0,1.0,2020-02-16
26,70,0,1.0,2020-02-17
27,70,0,1.0,2020-02-18
28,71,1,1.014,2020-02-19
29,71,0,1.0,2020-02-20
30,71,0,1.0,2020-02-21
31,71,0,1.0,2020-02-22
32,71,0,1.0,2020-02-23
33,71,0,1.0,2020-02-24
34,71,0,1.0,2020-02-25
35,71,0,1.0,2020-02-26
36,72,1,1.014,2020-02-27
37,72,0,1.0,2020-02-28
38,73,1,1.013,2020-02-29
39,73,0,1.0,2020-03-01
40,74,1,1.013,2020-03-02
41,74,0,1.0,2020-03-03
42,75,1,1.013,2020-03-04
43,75,0,1.0,2020-03-05
44,75,0,1.0,2020-03-06
45,75,0,1.0,2020-03-07
46,75,0,1.0,2020-03-08
47,75,0,1.0,2020-03-09
48,75,0,1.0,2020-03-10
49,75,0,1.0,2020-03-11
50,75,0,1.0,2020-03-12
51,75,0,1.0,2020-03-13
52,75,0,1.0,2020-03-14
53,75,0,1.0,2020-03-15
54,75,0,1.0,2020-03-16
55,75,0,1.0,2020-03-17
56,75,0,1.0,2020-03-18
57,75,0,1.0,2020-03-19
58,75,0,1.0,2020-03-20
59,75,0,1.0,2020-03-21
60,75,0,1.0,2020-03-22
61,75,0,1.0,2020-03-23
62,75,0,1.0,2020-03-24
63,75,0,1.0,2020-03-25
64,75,0,1.0,2020-03-26
65,75,0,1.0,2020-03-27
66,75,0,1.0,2020-03-28
67,75,0,1.0,2020-03-29
68,75,0,1.0,2020-03-30
