day,cases,cases_new,growth,date
3,1,1,1.0,2020-01-25
4,1,0,1.0,2020-01-26
5,6,5,6.0,2020-01-27
6,6,0,1.0,2020-01-28
7,6,0,1.0,2020-01-29
8,8,2,1.333,2020-01-30
9,8,0,1.0,2020-01-31
10,9,1,1.125,2020-02-01
11,11,2,1.222,2020-02-02
12,13,2,1.181,2020-02-03
13,15,2,1.153,2020-02-04
14,17,2,1.133,2020-02-05
15,18,1,1.058,2020-02-06
16,18,0,1.0,2020-02-07
17,18,0,1.0,2020-02-08
18,18,0,1.0,2020-02-09
19,18,0,1.0,2020-02-10
20,18,0,1.0,2020-02-11
21,18,0,1.0,2020-02-12
22,18,0,1.0,2020-02-13
23,18,0,1.0,2020-02-14
24,18,0,1.0,2020-02-15
25,18,0,1.0,2020-02-16
26,18,0,1.0,2020-02-17
27,18,0,1.0,2020-02-18
28,18,0,1.0,2020-02-19
29,18,0,1.0,2020-02-20
30,18,0,1.0,2020-02-21
31,18,0,1.0,2020-02-22
32,18,0,1.0,2020-02-23
33,18,0,1.0,2020-02-24
34,18,0,1.0,2020-02-25
35,18,0,1.0,2020-02-26
36,18,0,1.0,2020-02-27
37,18,0,1.0,2020-02-28
38,18,0,1.0,2020-02-29
39,18,0,1.0,2020-03-01
40,18,0,1.0,2020-03-02
41,18,0,1.0,2020-03-03
42,18,0,1.0,2020-03-04
43,18,0,1.0,2020-03-05
44,18,0,1.0,2020-03-06
45,18,0,1.0,2020-03-07
46,18,0,1.0,2020-03-08
47,18,0,1.0,2020-03-09
48,18,0,1.0,2020-03-10
49,18,0,1.0,2020-03-11
50,18,0,1.0,2020-03-12
51,18,0,1.0,2020-03-13
52,18,0,1.0,2020-03-14
53,18,0,1.0,2020-03-15
54,18,0,1.0,2020-03-16
55,18,0,1.0,2020-03-17
56,18,0,1.0,2020-03-18
57,18,0,1.0,2020-03-19
58,18,0,1.0,2020-03-20
59,18,0,1.0,2020-03-21
60,18,0,1.0,2020-03-22
61,18,0,1.0,2020-03-23
62,18,0,1.0,2020-03-24
63,18,0,1.0,2020-03-25
64,18,0,1.0,2020-03-26
65,18,0,1.0,2020-03-27
66,18,0,1.0,2020-03-28
67,18,0,1.0,2020-03-29
68,18,0,1.0,2020-03-30
69,18,0,1.0,2020-03-31
70,18,0,1.0,2020-04-01
71,18,0,1.0,2020-04-02
72,18,0,1.0,2020-04-03
73,18,0,1.0,2020-04-04
74,18,0,1.0,2020-04-05
75,18,0,1.0,2020-04-06
76,18,0,1.0,2020-04-07
77,18,0,1.0,2020-04-08
78,18,0,1.0,2020-04-09
79,18,0,1.0,2020-04-10
80,18,0,1.0,2020-04-11
81,18,0,1.0,2020-04-12
