day,cases,cases_new,growth,date
1,3,3,1.0,2020-01-23
2,5,2,1.666,2020-01-24
3,15,10,3.0,2020-01-25
4,22,7,1.466,2020-01-26
5,35,13,1.590,2020-01-27
6,46,11,1.314,2020-01-28
7,56,10,1.217,2020-01-29
8,63,7,1.125,2020-01-30
9,87,24,1.380,2020-01-31
10,101,14,1.160,2020-02-01
11,116,15,1.148,2020-02-02
12,128,12,1.103,2020-02-03
13,142,14,1.109,2020-02-04
14,165,23,1.161,2020-02-05
15,173,8,1.048,2020-02-06
16,184,11,1.063,2020-02-07
17,195,11,1.059,2020-02-08
18,208,13,1.066,2020-02-09
19,213,5,1.024,2020-02-10
20,219,6,1.028,2020-02-11
21,225,6,1.027,2020-02-12
22,229,4,1.017,2020-02-13
23,230,1,1.004,2020-02-14
24,232,2,1.008,2020-02-15
25,236,4,1.017,2020-02-16
26,240,4,1.016,2020-02-17
27,240,0,1.0,2020-02-18
28,242,2,1.008,2020-02-19
29,245,3,1.012,2020-02-20
30,245,0,1.0,2020-02-21
31,245,0,1.0,2020-02-22
32,245,0,1.0,2020-02-23
33,245,0,1.0,2020-02-24
34,245,0,1.0,2020-02-25
35,245,0,1.0,2020-02-26
36,245,0,1.0,2020-02-27
37,245,0,1.0,2020-02-28
38,245,0,1.0,2020-02-29
39,245,0,1.0,2020-03-01
40,245,0,1.0,2020-03-02
41,245,0,1.0,2020-03-03
42,245,0,1.0,2020-03-04
43,245,0,1.0,2020-03-05
44,245,0,1.0,2020-03-06
45,245,0,1.0,2020-03-07
46,245,0,1.0,2020-03-08
47,245,0,1.0,2020-03-09
48,245,0,1.0,2020-03-10
49,245,0,1.0,2020-03-11
50,245,0,1.0,2020-03-12
51,245,0,1.0,2020-03-13
52,245,0,1.0,2020-03-14
53,245,0,1.0,2020-03-15
54,245,0,1.0,2020-03-16
55,246,1,1.004,2020-03-17
56,246,0,1.0,2020-03-18
57,246,0,1.0,2020-03-19
58,247,1,1.004,2020-03-20
59,248,1,1.004,2020-03-21
