day,cases,cases_new,growth,date
0,9,9,1.0,2020-01-22
1,16,7,1.777,2020-01-23
2,20,4,1.25,2020-01-24
3,33,13,1.65,2020-01-25
4,40,7,1.212,2020-01-26
5,53,13,1.325,2020-01-27
6,66,13,1.245,2020-01-28
7,96,30,1.454,2020-01-29
8,112,16,1.166,2020-01-30
9,135,23,1.205,2020-01-31
10,169,34,1.251,2020-02-01
11,182,13,1.076,2020-02-02
12,203,21,1.115,2020-02-03
13,219,16,1.078,2020-02-04
14,243,24,1.109,2020-02-05
15,257,14,1.057,2020-02-06
16,277,20,1.077,2020-02-07
17,286,9,1.032,2020-02-08
18,293,7,1.024,2020-02-09
19,299,6,1.020,2020-02-10
20,303,4,1.013,2020-02-11
21,311,8,1.026,2020-02-12
22,315,4,1.012,2020-02-13
23,318,3,1.009,2020-02-14
24,326,8,1.025,2020-02-15
25,328,2,1.006,2020-02-16
26,333,5,1.015,2020-02-17
27,333,0,1.0,2020-02-18
28,333,0,1.0,2020-02-19
29,334,1,1.003,2020-02-20
30,334,0,1.0,2020-02-21
31,335,1,1.002,2020-02-22
32,335,0,1.0,2020-02-23
33,335,0,1.0,2020-02-24
34,336,1,1.002,2020-02-25
35,337,1,1.002,2020-02-26
36,337,0,1.0,2020-02-27
37,337,0,1.0,2020-02-28
38,337,0,1.0,2020-02-29
39,337,0,1.0,2020-03-01
40,337,0,1.0,2020-03-02
41,338,1,1.002,2020-03-03
42,338,0,1.0,2020-03-04
43,339,1,1.002,2020-03-05
44,342,3,1.008,2020-03-06
45,342,0,1.0,2020-03-07
46,342,0,1.0,2020-03-08
47,342,0,1.0,2020-03-09
48,344,2,1.005,2020-03-10
49,344,0,1.0,2020-03-11
50,344,0,1.0,2020-03-12
51,346,2,1.005,2020-03-13
52,353,7,1.020,2020-03-14
53,353,0,1.0,2020-03-15
54,355,2,1.005,2020-03-16
55,358,3,1.008,2020-03-17
56,361,3,1.008,2020-03-18
57,363,2,1.005,2020-03-19
58,371,8,1.022,2020-03-20
59,380,9,1.024,2020-03-21
