day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,1,0,1.0,2020-01-24
3,6,5,6.0,2020-01-25
4,9,3,1.5,2020-01-26
5,13,4,1.444,2020-01-27
6,27,14,2.076,2020-01-28
7,27,0,1.0,2020-01-29
8,35,8,1.296,2020-01-30
9,39,4,1.114,2020-01-31
10,47,8,1.205,2020-02-01
11,66,19,1.404,2020-02-02
12,74,8,1.121,2020-02-03
13,81,7,1.094,2020-02-04
14,81,0,1.0,2020-02-05
15,96,15,1.185,2020-02-06
16,104,8,1.083,2020-02-07
17,115,11,1.105,2020-02-08
18,119,4,1.034,2020-02-09
19,119,0,1.0,2020-02-10
20,124,5,1.042,2020-02-11
21,126,2,1.016,2020-02-12
22,126,0,1.0,2020-02-13
23,127,1,1.007,2020-02-14
24,128,1,1.007,2020-02-15
25,129,1,1.007,2020-02-16
26,130,1,1.007,2020-02-17
27,131,1,1.007,2020-02-18
28,131,0,1.0,2020-02-19
29,132,1,1.007,2020-02-20
30,132,0,1.0,2020-02-21
31,132,0,1.0,2020-02-22
32,132,0,1.0,2020-02-23
33,133,1,1.007,2020-02-24
34,133,0,1.0,2020-02-25
35,133,0,1.0,2020-02-26
36,133,0,1.0,2020-02-27
37,133,0,1.0,2020-02-28
38,133,0,1.0,2020-02-29
39,133,0,1.0,2020-03-01
40,133,0,1.0,2020-03-02
41,133,0,1.0,2020-03-03
42,133,0,1.0,2020-03-04
43,133,0,1.0,2020-03-05
44,133,0,1.0,2020-03-06
45,133,0,1.0,2020-03-07
46,133,0,1.0,2020-03-08
47,133,0,1.0,2020-03-09
48,133,0,1.0,2020-03-10
49,133,0,1.0,2020-03-11
50,133,0,1.0,2020-03-12
51,133,0,1.0,2020-03-13
52,133,0,1.0,2020-03-14
53,133,0,1.0,2020-03-15
54,133,0,1.0,2020-03-16
55,133,0,1.0,2020-03-17
