day,cases,cases_new,growth,date
0,5,5,1.0,2020-01-22
1,8,3,1.6,2020-01-23
2,15,7,1.875,2020-01-24
3,28,13,1.866,2020-01-25
4,44,16,1.571,2020-01-26
5,69,25,1.568,2020-01-27
6,90,21,1.304,2020-01-28
7,108,18,1.2,2020-01-29
8,142,34,1.314,2020-01-30
9,177,35,1.246,2020-01-31
10,207,30,1.169,2020-02-01
11,231,24,1.115,2020-02-02
12,254,23,1.099,2020-02-03
13,282,28,1.110,2020-02-04
14,301,19,1.067,2020-02-05
15,321,20,1.066,2020-02-06
16,344,23,1.071,2020-02-07
17,364,20,1.058,2020-02-08
18,386,22,1.060,2020-02-09
19,405,19,1.049,2020-02-10
20,417,12,1.029,2020-02-11
21,436,19,1.045,2020-02-12
22,451,15,1.034,2020-02-13
23,463,12,1.026,2020-02-14
24,470,7,1.015,2020-02-15
25,481,11,1.023,2020-02-16
26,495,14,1.029,2020-02-17
27,508,13,1.026,2020-02-18
28,514,6,1.011,2020-02-19
29,520,6,1.011,2020-02-20
30,525,5,1.009,2020-02-21
31,526,1,1.001,2020-02-22
32,526,0,1.0,2020-02-23
33,527,1,1.001,2020-02-24
34,529,2,1.003,2020-02-25
35,531,2,1.003,2020-02-26
36,534,3,1.005,2020-02-27
37,538,4,1.007,2020-02-28
38,538,0,1.0,2020-02-29
39,538,0,1.0,2020-03-01
40,538,0,1.0,2020-03-02
41,538,0,1.0,2020-03-03
42,538,0,1.0,2020-03-04
43,539,1,1.001,2020-03-05
44,539,0,1.0,2020-03-06
45,539,0,1.0,2020-03-07
46,539,0,1.0,2020-03-08
47,539,0,1.0,2020-03-09
48,539,0,1.0,2020-03-10
49,539,0,1.0,2020-03-11
50,539,0,1.0,2020-03-12
51,539,0,1.0,2020-03-13
52,539,0,1.0,2020-03-14
53,539,0,1.0,2020-03-15
54,539,0,1.0,2020-03-16
55,540,1,1.001,2020-03-17
56,540,0,1.0,2020-03-18
57,540,0,1.0,2020-03-19
58,541,1,1.001,2020-03-20
59,542,1,1.001,2020-03-21
60,543,1,1.001,2020-03-22
61,543,0,1.0,2020-03-23
