day,cases,cases_new,growth,date
0,4,4,1.0,2020-01-22
1,4,0,1.0,2020-01-23
2,8,4,2.0,2020-01-24
3,10,2,1.25,2020-01-25
4,14,4,1.4,2020-01-26
5,23,9,1.642,2020-01-27
6,24,1,1.043,2020-01-28
7,27,3,1.125,2020-01-29
8,31,4,1.148,2020-01-30
9,32,1,1.032,2020-01-31
10,41,9,1.281,2020-02-01
11,48,7,1.170,2020-02-02
12,60,12,1.25,2020-02-03
13,67,7,1.116,2020-02-04
14,69,2,1.029,2020-02-05
15,79,10,1.144,2020-02-06
16,81,2,1.025,2020-02-07
17,88,7,1.086,2020-02-08
18,91,3,1.034,2020-02-09
19,95,4,1.043,2020-02-10
20,106,11,1.115,2020-02-11
21,112,6,1.056,2020-02-12
22,119,7,1.062,2020-02-13
23,120,1,1.008,2020-02-14
24,122,2,1.016,2020-02-15
25,124,2,1.016,2020-02-16
26,125,1,1.008,2020-02-17
27,128,3,1.024,2020-02-18
28,130,2,1.015,2020-02-19
29,131,1,1.007,2020-02-20
30,132,1,1.007,2020-02-21
31,135,3,1.022,2020-02-22
32,135,0,1.0,2020-02-23
33,135,0,1.0,2020-02-24
34,135,0,1.0,2020-02-25
35,135,0,1.0,2020-02-26
36,136,1,1.007,2020-02-27
37,136,0,1.0,2020-02-28
38,136,0,1.0,2020-02-29
39,136,0,1.0,2020-03-01
40,136,0,1.0,2020-03-02
41,136,0,1.0,2020-03-03
42,136,0,1.0,2020-03-04
43,136,0,1.0,2020-03-05
44,136,0,1.0,2020-03-06
45,136,0,1.0,2020-03-07
46,136,0,1.0,2020-03-08
47,136,0,1.0,2020-03-09
48,136,0,1.0,2020-03-10
49,136,0,1.0,2020-03-11
50,136,0,1.0,2020-03-12
51,136,0,1.0,2020-03-13
52,136,0,1.0,2020-03-14
53,136,0,1.0,2020-03-15
54,136,0,1.0,2020-03-16
55,136,0,1.0,2020-03-17
56,136,0,1.0,2020-03-18
57,137,1,1.007,2020-03-19
58,137,0,1.0,2020-03-20
59,137,0,1.0,2020-03-21
60,137,0,1.0,2020-03-22
61,141,4,1.029,2020-03-23
62,145,4,1.028,2020-03-24
63,145,0,1.0,2020-03-25
64,151,6,1.041,2020-03-26
65,155,4,1.026,2020-03-27
66,161,6,1.038,2020-03-28
67,166,5,1.031,2020-03-29
