day,cases,cases_new,growth,date
1,2,2,1.0,2020-01-23
2,2,0,1.0,2020-01-24
3,3,1,1.5,2020-01-25
4,4,1,1.333,2020-01-26
5,5,1,1.25,2020-01-27
6,10,5,2.0,2020-01-28
7,13,3,1.3,2020-01-29
8,14,1,1.076,2020-01-30
9,17,3,1.214,2020-01-31
10,18,1,1.058,2020-02-01
11,21,3,1.166,2020-02-02
12,24,3,1.142,2020-02-03
13,29,5,1.208,2020-02-04
14,32,3,1.103,2020-02-05
15,36,4,1.125,2020-02-06
16,39,3,1.083,2020-02-07
17,42,3,1.076,2020-02-08
18,45,3,1.071,2020-02-09
19,49,4,1.088,2020-02-10
20,55,6,1.122,2020-02-11
21,59,4,1.072,2020-02-12
22,63,4,1.067,2020-02-13
23,65,2,1.031,2020-02-14
24,70,5,1.076,2020-02-15
25,71,1,1.014,2020-02-16
26,75,4,1.056,2020-02-17
27,76,1,1.013,2020-02-18
28,76,0,1.0,2020-02-19
29,76,0,1.0,2020-02-20
30,76,0,1.0,2020-02-21
31,76,0,1.0,2020-02-22
32,76,0,1.0,2020-02-23
33,76,0,1.0,2020-02-24
34,76,0,1.0,2020-02-25
35,76,0,1.0,2020-02-26
36,76,0,1.0,2020-02-27
37,76,0,1.0,2020-02-28
38,76,0,1.0,2020-02-29
39,76,0,1.0,2020-03-01
40,76,0,1.0,2020-03-02
41,76,0,1.0,2020-03-03
42,76,0,1.0,2020-03-04
43,76,0,1.0,2020-03-05
44,76,0,1.0,2020-03-06
45,76,0,1.0,2020-03-07
46,76,0,1.0,2020-03-08
47,76,0,1.0,2020-03-09
48,76,0,1.0,2020-03-10
49,76,0,1.0,2020-03-11
50,76,0,1.0,2020-03-12
51,76,0,1.0,2020-03-13
52,76,0,1.0,2020-03-14
53,76,0,1.0,2020-03-15
54,76,0,1.0,2020-03-16
55,76,0,1.0,2020-03-17
56,76,0,1.0,2020-03-18
57,76,0,1.0,2020-03-19
58,76,0,1.0,2020-03-20
59,76,0,1.0,2020-03-21
60,76,0,1.0,2020-03-22
61,76,0,1.0,2020-03-23
62,76,0,1.0,2020-03-24
63,76,0,1.0,2020-03-25
