day,cases,cases_new,growth,date
0,10,10,1.0,2020-01-22
1,27,17,2.7,2020-01-23
2,43,16,1.592,2020-01-24
3,62,19,1.441,2020-01-25
4,104,42,1.677,2020-01-26
5,128,24,1.230,2020-01-27
6,173,45,1.351,2020-01-28
7,296,123,1.710,2020-01-29
8,428,132,1.445,2020-01-30
9,538,110,1.257,2020-01-31
10,599,61,1.113,2020-02-01
11,661,62,1.103,2020-02-02
12,724,63,1.095,2020-02-03
13,829,105,1.145,2020-02-04
14,895,66,1.079,2020-02-05
15,954,59,1.065,2020-02-06
16,1006,52,1.054,2020-02-07
17,1048,42,1.041,2020-02-08
18,1075,27,1.025,2020-02-09
19,1092,17,1.015,2020-02-10
20,1117,25,1.022,2020-02-11
21,1131,14,1.012,2020-02-12
22,1145,14,1.012,2020-02-13
23,1155,10,1.008,2020-02-14
24,1162,7,1.006,2020-02-15
25,1167,5,1.004,2020-02-16
26,1171,4,1.003,2020-02-17
27,1172,1,1.000,2020-02-18
28,1174,2,1.001,2020-02-19
29,1175,1,1.000,2020-02-20
30,1203,28,1.023,2020-02-21
31,1205,2,1.001,2020-02-22
32,1205,0,1.0,2020-02-23
33,1205,0,1.0,2020-02-24
34,1205,0,1.0,2020-02-25
35,1205,0,1.0,2020-02-26
36,1205,0,1.0,2020-02-27
37,1205,0,1.0,2020-02-28
38,1205,0,1.0,2020-02-29
39,1205,0,1.0,2020-03-01
40,1206,1,1.000,2020-03-02
41,1213,7,1.005,2020-03-03
42,1213,0,1.0,2020-03-04
43,1215,2,1.001,2020-03-05
44,1215,0,1.0,2020-03-06
45,1215,0,1.0,2020-03-07
46,1215,0,1.0,2020-03-08
47,1215,0,1.0,2020-03-09
48,1215,0,1.0,2020-03-10
49,1215,0,1.0,2020-03-11
50,1215,0,1.0,2020-03-12
51,1215,0,1.0,2020-03-13
52,1227,12,1.009,2020-03-14
53,1231,4,1.003,2020-03-15
54,1231,0,1.0,2020-03-16
55,1232,1,1.000,2020-03-17
56,1232,0,1.0,2020-03-18
57,1233,1,1.000,2020-03-19
58,1234,1,1.000,2020-03-20
59,1236,2,1.001,2020-03-21
60,1238,2,1.001,2020-03-22
61,1238,0,1.0,2020-03-23
62,1240,2,1.001,2020-03-24
63,1241,1,1.000,2020-03-25
64,1243,2,1.001,2020-03-26
65,1247,4,1.003,2020-03-27
66,1251,4,1.003,2020-03-28
67,1254,3,1.002,2020-03-29
68,1255,1,1.000,2020-03-30
69,1257,2,1.001,2020-03-31
70,1257,0,1.0,2020-04-01
71,1258,1,1.000,2020-04-02
72,1260,2,1.001,2020-04-03
