day,cases,cases_new,growth,date
99,1,1,1.0,2020-04-30
100,1,0,1.0,2020-05-01
101,3,2,3.0,2020-05-02
102,3,0,1.0,2020-05-03
103,3,0,1.0,2020-05-04
104,3,0,1.0,2020-05-05
105,8,5,2.666,2020-05-06
106,8,0,1.0,2020-05-07
107,8,0,1.0,2020-05-08
108,11,3,1.375,2020-05-09
109,11,0,1.0,2020-05-10
110,11,0,1.0,2020-05-11
111,11,0,1.0,2020-05-12
112,11,0,1.0,2020-05-13
113,11,0,1.0,2020-05-14
114,11,0,1.0,2020-05-15
115,11,0,1.0,2020-05-16
116,11,0,1.0,2020-05-17
117,11,0,1.0,2020-05-18
118,11,0,1.0,2020-05-19
119,34,23,3.090,2020-05-20
120,34,0,1.0,2020-05-21
121,78,44,2.294,2020-05-22
122,78,0,1.0,2020-05-23
123,87,9,1.115,2020-05-24
