day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,3,2,3.0,2020-03-19
58,3,0,1.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,4,1,1.333,2020-03-23
62,4,0,1.0,2020-03-24
63,4,0,1.0,2020-03-25
64,4,0,1.0,2020-03-26
65,4,0,1.0,2020-03-27
66,4,0,1.0,2020-03-28
67,19,15,4.75,2020-03-29
68,19,0,1.0,2020-03-30
69,19,0,1.0,2020-03-31
70,19,0,1.0,2020-04-01
71,22,3,1.157,2020-04-02
72,22,0,1.0,2020-04-03
73,22,0,1.0,2020-04-04
74,45,23,2.045,2020-04-05
75,45,0,1.0,2020-04-06
76,45,0,1.0,2020-04-07
77,45,0,1.0,2020-04-08
78,60,15,1.333,2020-04-09
79,60,0,1.0,2020-04-10
80,60,0,1.0,2020-04-11
81,60,0,1.0,2020-04-12
82,60,0,1.0,2020-04-13
83,60,0,1.0,2020-04-14
84,117,57,1.95,2020-04-15
85,117,0,1.0,2020-04-16
86,143,26,1.222,2020-04-17
87,143,0,1.0,2020-04-18
88,143,0,1.0,2020-04-19
89,160,17,1.118,2020-04-20
90,165,5,1.031,2020-04-21
91,186,21,1.127,2020-04-22
92,186,0,1.0,2020-04-23
