day,cases,cases_new,growth,date
34,1,1,1.0,2020-02-25
35,3,2,3.0,2020-02-26
36,3,0,1.0,2020-02-27
37,5,2,1.666,2020-02-28
38,6,1,1.2,2020-02-29
39,7,1,1.166,2020-03-01
40,7,0,1.0,2020-03-02
41,9,2,1.285,2020-03-03
42,10,1,1.111,2020-03-04
43,10,0,1.0,2020-03-05
44,11,1,1.1,2020-03-06
45,12,1,1.090,2020-03-07
46,12,0,1.0,2020-03-08
47,12,0,1.0,2020-03-09
48,14,2,1.166,2020-03-10
49,19,5,1.357,2020-03-11
50,23,4,1.210,2020-03-12
51,32,9,1.391,2020-03-13
52,38,6,1.187,2020-03-14
53,49,11,1.289,2020-03-15
54,57,8,1.163,2020-03-16
55,65,8,1.140,2020-03-17
56,81,16,1.246,2020-03-18
57,105,24,1.296,2020-03-19
58,128,23,1.219,2020-03-20
59,206,78,1.609,2020-03-21
60,254,48,1.233,2020-03-22
61,315,61,1.240,2020-03-23
62,382,67,1.212,2020-03-24
63,442,60,1.157,2020-03-25
64,495,53,1.119,2020-03-26
65,586,91,1.183,2020-03-27
66,657,71,1.121,2020-03-28
67,713,56,1.085,2020-03-29
68,790,77,1.107,2020-03-30
69,867,77,1.097,2020-03-31
70,963,96,1.110,2020-04-01
71,1011,48,1.049,2020-04-02
72,1079,68,1.067,2020-04-03
