day,cases,cases_new,growth,date
39,3,3,1.0,2020-03-01
40,3,0,1.0,2020-03-02
41,5,2,1.666,2020-03-03
42,8,3,1.6,2020-03-04
43,12,4,1.5,2020-03-05
44,18,6,1.5,2020-03-06
45,19,1,1.055,2020-03-07
46,31,12,1.631,2020-03-08
47,31,0,1.0,2020-03-09
48,41,10,1.322,2020-03-10
49,91,50,2.219,2020-03-11
50,94,3,1.032,2020-03-12
51,141,47,1.5,2020-03-13
52,189,48,1.340,2020-03-14
53,253,64,1.338,2020-03-15
54,298,45,1.177,2020-03-16
55,396,98,1.328,2020-03-17
56,464,68,1.171,2020-03-18
57,694,230,1.495,2020-03-19
58,833,139,1.200,2020-03-20
59,995,162,1.194,2020-03-21
60,1120,125,1.125,2020-03-22
61,1236,116,1.103,2020-03-23
62,1394,158,1.127,2020-03-24
63,1654,260,1.186,2020-03-25
64,1925,271,1.163,2020-03-26
65,2279,354,1.183,2020-03-27
66,2631,352,1.154,2020-03-28
67,2817,186,1.070,2020-03-29
