day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,2,1,2.0,2020-03-08
47,2,0,1.0,2020-03-09
48,2,0,1.0,2020-03-10
49,2,0,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,3,1,1.5,2020-03-13
52,9,6,3.0,2020-03-14
53,11,2,1.222,2020-03-15
54,18,7,1.636,2020-03-16
55,47,29,2.611,2020-03-17
56,58,11,1.234,2020-03-18
57,72,14,1.241,2020-03-19
58,80,8,1.111,2020-03-20
59,92,12,1.15,2020-03-21
60,115,23,1.25,2020-03-22
61,118,3,1.026,2020-03-23
62,122,4,1.033,2020-03-24
63,132,10,1.081,2020-03-25
64,140,8,1.060,2020-03-26
65,144,4,1.028,2020-03-27
66,155,11,1.076,2020-03-28
67,159,4,1.025,2020-03-29
68,168,9,1.056,2020-03-30
69,169,1,1.005,2020-03-31
70,173,4,1.023,2020-04-01
71,177,4,1.023,2020-04-02
72,179,2,1.011,2020-04-03
73,181,2,1.011,2020-04-04
74,181,0,1.0,2020-04-05
75,183,2,1.011,2020-04-06
76,184,1,1.005,2020-04-07
77,184,0,1.0,2020-04-08
78,184,0,1.0,2020-04-09
79,184,0,1.0,2020-04-10
80,184,0,1.0,2020-04-11
81,184,0,1.0,2020-04-12
82,184,0,1.0,2020-04-13
83,184,0,1.0,2020-04-14
84,184,0,1.0,2020-04-15
85,184,0,1.0,2020-04-16
86,184,0,1.0,2020-04-17
87,184,0,1.0,2020-04-18
88,185,1,1.005,2020-04-19
89,185,0,1.0,2020-04-20
90,185,0,1.0,2020-04-21
91,185,0,1.0,2020-04-22
92,187,2,1.010,2020-04-23
93,187,0,1.0,2020-04-24
94,187,0,1.0,2020-04-25
95,187,0,1.0,2020-04-26
96,187,0,1.0,2020-04-27
97,187,0,1.0,2020-04-28
98,187,0,1.0,2020-04-29
99,187,0,1.0,2020-04-30
100,187,0,1.0,2020-05-01
101,187,0,1.0,2020-05-02
102,187,0,1.0,2020-05-03
103,187,0,1.0,2020-05-04
104,187,0,1.0,2020-05-05
105,187,0,1.0,2020-05-06
106,187,0,1.0,2020-05-07
107,187,0,1.0,2020-05-08
108,187,0,1.0,2020-05-09
109,187,0,1.0,2020-05-10
110,187,0,1.0,2020-05-11
111,187,0,1.0,2020-05-12
112,187,0,1.0,2020-05-13
113,187,0,1.0,2020-05-14
114,187,0,1.0,2020-05-15
115,187,0,1.0,2020-05-16
116,187,0,1.0,2020-05-17
117,187,0,1.0,2020-05-18
118,187,0,1.0,2020-05-19
119,187,0,1.0,2020-05-20
120,187,0,1.0,2020-05-21
121,187,0,1.0,2020-05-22
122,187,0,1.0,2020-05-23
123,187,0,1.0,2020-05-24
