day,cases,cases_new,growth,date
56,1,1,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,3,2,3.0,2020-03-23
62,3,0,1.0,2020-03-24
63,11,8,3.666,2020-03-25
64,11,0,1.0,2020-03-26
65,12,1,1.090,2020-03-27
66,14,2,1.166,2020-03-28
67,18,4,1.285,2020-03-29
68,18,0,1.0,2020-03-30
69,30,12,1.666,2020-03-31
70,33,3,1.1,2020-04-01
71,40,7,1.212,2020-04-02
72,49,9,1.225,2020-04-03
73,50,1,1.020,2020-04-04
74,59,9,1.18,2020-04-05
75,90,31,1.525,2020-04-06
76,90,0,1.0,2020-04-07
77,135,45,1.5,2020-04-08
78,135,0,1.0,2020-04-09
79,150,15,1.111,2020-04-10
80,187,37,1.246,2020-04-11
81,214,27,1.144,2020-04-12
