day,cases,cases_new,growth,date
60,1,1,1.0,2020-03-22
61,2,1,2.0,2020-03-23
62,2,0,1.0,2020-03-24
63,7,5,3.5,2020-03-25
64,11,4,1.571,2020-03-26
65,11,0,1.0,2020-03-27
66,11,0,1.0,2020-03-28
67,11,0,1.0,2020-03-29
68,11,0,1.0,2020-03-30
69,12,1,1.090,2020-03-31
70,12,0,1.0,2020-04-01
71,12,0,1.0,2020-04-02
72,12,0,1.0,2020-04-03
73,14,2,1.166,2020-04-04
74,14,0,1.0,2020-04-05
75,15,1,1.071,2020-04-06
76,15,0,1.0,2020-04-07
77,15,0,1.0,2020-04-08
78,15,0,1.0,2020-04-09
79,16,1,1.066,2020-04-10
80,16,0,1.0,2020-04-11
81,16,0,1.0,2020-04-12
82,16,0,1.0,2020-04-13
83,16,0,1.0,2020-04-14
84,16,0,1.0,2020-04-15
85,16,0,1.0,2020-04-16
86,16,0,1.0,2020-04-17
87,16,0,1.0,2020-04-18
88,16,0,1.0,2020-04-19
89,16,0,1.0,2020-04-20
90,16,0,1.0,2020-04-21
91,16,0,1.0,2020-04-22
92,16,0,1.0,2020-04-23
