day,cases,cases_new,growth,date
39,6,6,1.0,2020-03-01
40,6,0,1.0,2020-03-02
41,7,1,1.166,2020-03-03
42,10,3,1.428,2020-03-04
43,13,3,1.3,2020-03-05
44,13,0,1.0,2020-03-06
45,13,0,1.0,2020-03-07
46,14,1,1.076,2020-03-08
47,15,1,1.071,2020-03-09
48,15,0,1.0,2020-03-10
49,17,2,1.133,2020-03-11
50,17,0,1.0,2020-03-12
51,17,0,1.0,2020-03-13
52,28,11,1.647,2020-03-14
53,28,0,1.0,2020-03-15
54,37,9,1.321,2020-03-16
55,58,21,1.567,2020-03-17
56,111,53,1.913,2020-03-18
57,199,88,1.792,2020-03-19
58,367,168,1.844,2020-03-20
59,506,139,1.378,2020-03-21
60,789,283,1.559,2020-03-22
61,981,192,1.243,2020-03-23
62,1082,101,1.102,2020-03-24
63,1173,91,1.084,2020-03-25
64,1403,230,1.196,2020-03-26
65,1595,192,1.136,2020-03-27
66,1823,228,1.142,2020-03-28
67,1924,101,1.055,2020-03-29
68,1962,38,1.019,2020-03-30
69,2240,278,1.141,2020-03-31
70,2748,508,1.226,2020-04-01
71,3163,415,1.151,2020-04-02
72,3368,205,1.064,2020-04-03
