day,cases,cases_new,growth,date
23,1,1,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,2,1,2.0,2020-03-01
40,2,0,1.0,2020-03-02
41,2,0,1.0,2020-03-03
42,2,0,1.0,2020-03-04
43,3,1,1.5,2020-03-05
44,15,12,5.0,2020-03-06
45,15,0,1.0,2020-03-07
46,49,34,3.266,2020-03-08
47,55,6,1.122,2020-03-09
48,59,4,1.072,2020-03-10
49,60,1,1.016,2020-03-11
50,67,7,1.116,2020-03-12
51,80,13,1.194,2020-03-13
52,109,29,1.362,2020-03-14
53,110,1,1.009,2020-03-15
54,150,40,1.363,2020-03-16
55,196,46,1.306,2020-03-17
56,196,0,1.0,2020-03-18
57,256,60,1.306,2020-03-19
58,285,29,1.113,2020-03-20
59,294,9,1.031,2020-03-21
60,327,33,1.112,2020-03-22
61,366,39,1.119,2020-03-23
62,402,36,1.098,2020-03-24
63,456,54,1.134,2020-03-25
64,495,39,1.085,2020-03-26
65,536,41,1.082,2020-03-27
66,576,40,1.074,2020-03-28
67,609,33,1.057,2020-03-29
68,656,47,1.077,2020-03-30
69,710,54,1.082,2020-03-31
70,779,69,1.097,2020-04-01
71,865,86,1.110,2020-04-02
72,985,120,1.138,2020-04-03
73,1070,85,1.086,2020-04-04
74,1173,103,1.096,2020-04-05
75,1322,149,1.127,2020-04-06
76,1450,128,1.096,2020-04-07
77,1560,110,1.075,2020-04-08
78,1699,139,1.089,2020-04-09
79,1794,95,1.055,2020-04-10
80,1939,145,1.080,2020-04-11
81,2065,126,1.064,2020-04-12
82,2190,125,1.060,2020-04-13
83,2350,160,1.073,2020-04-14
84,2505,155,1.065,2020-04-15
85,2673,168,1.067,2020-04-16
86,2844,171,1.063,2020-04-17
87,3032,188,1.066,2020-04-18
88,3144,112,1.036,2020-04-19
89,3333,189,1.060,2020-04-20
90,3490,157,1.047,2020-04-21
91,3659,169,1.048,2020-04-22
92,3891,232,1.063,2020-04-23
93,4092,201,1.051,2020-04-24
94,4319,227,1.055,2020-04-25
95,4534,215,1.049,2020-04-26
96,4782,248,1.054,2020-04-27
97,5042,260,1.054,2020-04-28
98,5268,226,1.044,2020-04-29
99,5537,269,1.051,2020-04-30
100,5895,358,1.064,2020-05-01
101,6193,298,1.050,2020-05-02
102,6465,272,1.043,2020-05-03
103,6813,348,1.053,2020-05-04
104,7201,388,1.056,2020-05-05
105,7588,387,1.053,2020-05-06
106,7981,393,1.051,2020-05-07
107,8476,495,1.062,2020-05-08
108,8964,488,1.057,2020-05-09
109,9400,436,1.048,2020-05-10
110,9746,346,1.036,2020-05-11
111,10093,347,1.035,2020-05-12
112,10431,338,1.033,2020-05-13
113,10829,398,1.038,2020-05-14
114,11228,399,1.036,2020-05-15
115,11719,491,1.043,2020-05-16
116,12229,510,1.043,2020-05-17
117,12764,535,1.043,2020-05-18
118,13484,720,1.056,2020-05-19
119,14229,745,1.055,2020-05-20
120,15003,774,1.054,2020-05-21
121,15786,783,1.052,2020-05-22
122,16513,727,1.046,2020-05-23
123,17265,752,1.045,2020-05-24
