day,cases,cases_new,growth,date
57,1,1,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,3,2,3.0,2020-03-21
60,3,0,1.0,2020-03-22
61,3,0,1.0,2020-03-23
62,5,2,1.666,2020-03-24
63,9,4,1.8,2020-03-25
64,13,4,1.444,2020-03-26
65,13,0,1.0,2020-03-27
66,19,6,1.461,2020-03-28
67,24,5,1.263,2020-03-29
68,30,6,1.25,2020-03-30
69,32,2,1.066,2020-03-31
70,32,0,1.0,2020-04-01
71,41,9,1.281,2020-04-02
72,46,5,1.121,2020-04-03
73,56,10,1.217,2020-04-04
74,62,6,1.107,2020-04-05
75,69,7,1.112,2020-04-06
76,78,9,1.130,2020-04-07
77,93,15,1.192,2020-04-08
78,103,10,1.107,2020-04-09
79,117,14,1.135,2020-04-10
80,118,1,1.008,2020-04-11
81,125,7,1.059,2020-04-12
82,137,12,1.096,2020-04-13
83,149,12,1.087,2020-04-14
84,159,10,1.067,2020-04-15
85,164,5,1.031,2020-04-16
86,177,13,1.079,2020-04-17
87,190,13,1.073,2020-04-18
88,201,11,1.057,2020-04-19
89,218,17,1.084,2020-04-20
90,225,7,1.032,2020-04-21
91,237,12,1.053,2020-04-22
92,250,13,1.054,2020-04-23
93,274,24,1.096,2020-04-24
94,274,0,1.0,2020-04-25
95,298,24,1.087,2020-04-26
96,323,25,1.083,2020-04-27
97,345,22,1.068,2020-04-28
98,377,32,1.092,2020-04-29
99,395,18,1.047,2020-04-30
100,424,29,1.073,2020-05-01
101,446,22,1.051,2020-05-02
102,490,44,1.098,2020-05-03
103,555,65,1.132,2020-05-04
104,587,32,1.057,2020-05-05
105,633,46,1.078,2020-05-06
106,695,62,1.097,2020-05-07
107,742,47,1.067,2020-05-08
108,784,42,1.056,2020-05-09
109,889,105,1.133,2020-05-10
110,958,69,1.077,2020-05-11
111,998,40,1.041,2020-05-12
112,1037,39,1.039,2020-05-13
113,1112,75,1.072,2020-05-14
114,1210,98,1.088,2020-05-15
115,1265,55,1.045,2020-05-16
116,1338,73,1.057,2020-05-17
117,1413,75,1.056,2020-05-18
118,1498,85,1.060,2020-05-19
119,1571,73,1.048,2020-05-20
120,1640,69,1.043,2020-05-21
121,1725,85,1.051,2020-05-22
122,1819,94,1.054,2020-05-23
123,1915,96,1.052,2020-05-24
