day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,4,3,4.0,2020-03-18
57,6,2,1.5,2020-03-19
58,6,0,1.0,2020-03-20
59,6,0,1.0,2020-03-21
60,6,0,1.0,2020-03-22
61,9,3,1.5,2020-03-23
62,9,0,1.0,2020-03-24
63,9,0,1.0,2020-03-25
64,12,3,1.333,2020-03-26
65,12,0,1.0,2020-03-27
66,12,0,1.0,2020-03-28
67,12,0,1.0,2020-03-29
68,12,0,1.0,2020-03-30
69,12,0,1.0,2020-03-31
70,15,3,1.25,2020-04-01
71,15,0,1.0,2020-04-02
72,16,1,1.066,2020-04-03
73,16,0,1.0,2020-04-04
74,16,0,1.0,2020-04-05
75,16,0,1.0,2020-04-06
76,16,0,1.0,2020-04-07
77,18,2,1.125,2020-04-08
78,18,0,1.0,2020-04-09
79,18,0,1.0,2020-04-10
80,18,0,1.0,2020-04-11
81,21,3,1.166,2020-04-12
82,21,0,1.0,2020-04-13
83,41,20,1.952,2020-04-14
84,51,10,1.243,2020-04-15
85,51,0,1.0,2020-04-16
86,79,28,1.549,2020-04-17
87,79,0,1.0,2020-04-18
88,79,0,1.0,2020-04-19
89,79,0,1.0,2020-04-20
90,83,4,1.050,2020-04-21
91,84,1,1.012,2020-04-22
92,84,0,1.0,2020-04-23
93,214,130,2.547,2020-04-24
94,258,44,1.205,2020-04-25
95,258,0,1.0,2020-04-26
96,258,0,1.0,2020-04-27
97,315,57,1.220,2020-04-28
98,315,0,1.0,2020-04-29
99,315,0,1.0,2020-04-30
100,315,0,1.0,2020-05-01
101,315,0,1.0,2020-05-02
102,315,0,1.0,2020-05-03
103,315,0,1.0,2020-05-04
104,315,0,1.0,2020-05-05
105,439,124,1.393,2020-05-06
106,439,0,1.0,2020-05-07
107,439,0,1.0,2020-05-08
108,439,0,1.0,2020-05-09
109,439,0,1.0,2020-05-10
110,439,0,1.0,2020-05-11
111,439,0,1.0,2020-05-12
112,522,83,1.189,2020-05-13
113,583,61,1.116,2020-05-14
114,594,11,1.018,2020-05-15
115,594,0,1.0,2020-05-16
116,594,0,1.0,2020-05-17
117,719,125,1.210,2020-05-18
118,825,106,1.147,2020-05-19
119,890,65,1.078,2020-05-20
120,903,13,1.014,2020-05-21
121,960,57,1.063,2020-05-22
122,960,0,1.0,2020-05-23
123,960,0,1.0,2020-05-24
