day,cases,cases_new,growth,date
59,1,1,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,4,3,4.0,2020-03-25
64,6,2,1.5,2020-03-26
65,6,0,1.0,2020-03-27
66,6,0,1.0,2020-03-28
67,12,6,2.0,2020-03-29
68,12,0,1.0,2020-03-30
69,15,3,1.25,2020-03-31
70,15,0,1.0,2020-04-01
71,22,7,1.466,2020-04-02
72,22,0,1.0,2020-04-03
73,29,7,1.318,2020-04-04
74,29,0,1.0,2020-04-05
75,31,2,1.068,2020-04-06
76,31,0,1.0,2020-04-07
77,33,2,1.064,2020-04-08
78,33,0,1.0,2020-04-09
79,34,1,1.030,2020-04-10
80,34,0,1.0,2020-04-11
81,34,0,1.0,2020-04-12
82,34,0,1.0,2020-04-13
83,34,0,1.0,2020-04-14
84,35,1,1.029,2020-04-15
85,35,0,1.0,2020-04-16
86,35,0,1.0,2020-04-17
87,39,4,1.114,2020-04-18
88,39,0,1.0,2020-04-19
89,39,0,1.0,2020-04-20
90,39,0,1.0,2020-04-21
91,39,0,1.0,2020-04-22
92,39,0,1.0,2020-04-23
