day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,2,1,2.0,2020-03-03
42,2,0,1.0,2020-03-04
43,3,1,1.5,2020-03-05
44,10,7,3.333,2020-03-06
45,10,0,1.0,2020-03-07
46,10,0,1.0,2020-03-08
47,10,0,1.0,2020-03-09
48,12,2,1.2,2020-03-10
49,16,4,1.333,2020-03-11
50,37,21,2.312,2020-03-12
51,79,42,2.135,2020-03-13
52,115,36,1.455,2020-03-14
53,171,56,1.486,2020-03-15
54,205,34,1.198,2020-03-16
55,225,20,1.097,2020-03-17
56,258,33,1.146,2020-03-18
57,267,9,1.034,2020-03-19
58,283,16,1.059,2020-03-20
59,306,23,1.081,2020-03-21
60,326,20,1.065,2020-03-22
61,352,26,1.079,2020-03-23
62,369,17,1.048,2020-03-24
63,404,35,1.094,2020-03-25
64,538,134,1.331,2020-03-26
65,575,37,1.068,2020-03-27
66,645,70,1.121,2020-03-28
67,679,34,1.052,2020-03-29
68,715,36,1.053,2020-03-30
69,745,30,1.041,2020-03-31
70,779,34,1.045,2020-04-01
71,858,79,1.101,2020-04-02
72,961,103,1.120,2020-04-03
73,1039,78,1.081,2020-04-04
74,1097,58,1.055,2020-04-05
75,1108,11,1.010,2020-04-06
76,1149,41,1.037,2020-04-07
77,1185,36,1.031,2020-04-08
78,1207,22,1.018,2020-04-09
79,1258,51,1.042,2020-04-10
80,1304,46,1.036,2020-04-11
81,1309,5,1.003,2020-04-12
82,1332,23,1.017,2020-04-13
83,1373,41,1.030,2020-04-14
84,1400,27,1.019,2020-04-15
85,1434,34,1.024,2020-04-16
86,1459,25,1.017,2020-04-17
87,1512,53,1.036,2020-04-18
88,1528,16,1.010,2020-04-19
89,1535,7,1.004,2020-04-20
90,1552,17,1.011,2020-04-21
91,1559,7,1.004,2020-04-22
92,1592,33,1.021,2020-04-23
93,1605,13,1.008,2020-04-24
94,1635,30,1.018,2020-04-25
95,1643,8,1.004,2020-04-26
96,1647,4,1.002,2020-04-27
97,1660,13,1.007,2020-04-28
98,1666,6,1.003,2020-04-29
99,1689,23,1.013,2020-04-30
100,1694,5,1.002,2020-05-01
101,1699,5,1.002,2020-05-02
102,1700,1,1.000,2020-05-03
103,1703,3,1.001,2020-05-04
104,1711,8,1.004,2020-05-05
105,1713,2,1.001,2020-05-06
106,1720,7,1.004,2020-05-07
107,1725,5,1.002,2020-05-08
108,1733,8,1.004,2020-05-09
109,1739,6,1.003,2020-05-10
110,1741,2,1.001,2020-05-11
111,1746,5,1.002,2020-05-12
112,1751,5,1.002,2020-05-13
113,1758,7,1.003,2020-05-14
114,1766,8,1.004,2020-05-15
115,1770,4,1.002,2020-05-16
116,1774,4,1.002,2020-05-17
117,1784,10,1.005,2020-05-18
118,1791,7,1.003,2020-05-19
119,1794,3,1.001,2020-05-20
120,1800,6,1.003,2020-05-21
121,1807,7,1.003,2020-05-22
122,1821,14,1.007,2020-05-23
123,1823,2,1.001,2020-05-24
