day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,4,3,4.0,2020-03-22
61,4,0,1.0,2020-03-23
62,4,0,1.0,2020-03-24
63,4,0,1.0,2020-03-25
64,6,2,1.5,2020-03-26
65,9,3,1.5,2020-03-27
66,9,0,1.0,2020-03-28
67,9,0,1.0,2020-03-29
68,9,0,1.0,2020-03-30
69,9,0,1.0,2020-03-31
70,9,0,1.0,2020-04-01
71,9,0,1.0,2020-04-02
72,9,0,1.0,2020-04-03
73,9,0,1.0,2020-04-04
74,9,0,1.0,2020-04-05
75,10,1,1.111,2020-04-06
76,10,0,1.0,2020-04-07
77,12,2,1.2,2020-04-08
78,12,0,1.0,2020-04-09
79,12,0,1.0,2020-04-10
80,12,0,1.0,2020-04-11
81,14,2,1.166,2020-04-12
82,15,1,1.071,2020-04-13
83,15,0,1.0,2020-04-14
84,15,0,1.0,2020-04-15
85,16,1,1.066,2020-04-16
86,16,0,1.0,2020-04-17
87,22,6,1.375,2020-04-18
88,22,0,1.0,2020-04-19
89,24,2,1.090,2020-04-20
90,31,7,1.291,2020-04-21
91,31,0,1.0,2020-04-22
92,31,0,1.0,2020-04-23
93,36,5,1.161,2020-04-24
94,56,20,1.555,2020-04-25
95,59,3,1.053,2020-04-26
96,65,6,1.101,2020-04-27
97,71,6,1.092,2020-04-28
98,91,20,1.281,2020-04-29
99,100,9,1.098,2020-04-30
100,106,6,1.06,2020-05-01
101,108,2,1.018,2020-05-02
102,112,4,1.037,2020-05-03
103,116,4,1.035,2020-05-04
104,119,3,1.025,2020-05-05
105,123,4,1.033,2020-05-06
106,153,30,1.243,2020-05-07
107,159,6,1.039,2020-05-08
108,163,4,1.025,2020-05-09
109,172,9,1.055,2020-05-10
110,175,3,1.017,2020-05-11
111,184,9,1.051,2020-05-12
112,187,3,1.016,2020-05-13
113,187,0,1.0,2020-05-14
114,190,3,1.016,2020-05-15
115,202,12,1.063,2020-05-16
116,203,1,1.004,2020-05-17
117,205,2,1.009,2020-05-18
118,208,3,1.014,2020-05-19
119,217,9,1.043,2020-05-20
120,220,3,1.013,2020-05-21
121,225,5,1.022,2020-05-22
122,238,13,1.057,2020-05-23
123,250,12,1.050,2020-05-24
