day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,5,4,5.0,2020-03-16
55,5,0,1.0,2020-03-17
56,6,1,1.2,2020-03-18
57,6,0,1.0,2020-03-19
58,9,3,1.5,2020-03-20
59,9,0,1.0,2020-03-21
60,11,2,1.222,2020-03-22
61,11,0,1.0,2020-03-23
62,12,1,1.090,2020-03-24
63,12,0,1.0,2020-03-25
64,12,0,1.0,2020-03-26
65,16,4,1.333,2020-03-27
66,16,0,1.0,2020-03-28
67,21,5,1.312,2020-03-29
68,23,2,1.095,2020-03-30
69,26,3,1.130,2020-03-31
70,29,3,1.115,2020-04-01
71,29,0,1.0,2020-04-02
72,35,6,1.206,2020-04-03
