day,cases,cases_new,growth,date
57,1,1,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,2,1,2.0,2020-03-22
61,3,1,1.5,2020-03-23
62,4,1,1.333,2020-03-24
63,5,1,1.25,2020-03-25
64,5,0,1.0,2020-03-26
65,5,0,1.0,2020-03-27
66,5,0,1.0,2020-03-28
67,5,0,1.0,2020-03-29
68,5,0,1.0,2020-03-30
69,5,0,1.0,2020-03-31
70,5,0,1.0,2020-04-01
71,7,2,1.4,2020-04-02
72,7,0,1.0,2020-04-03
73,12,5,1.714,2020-04-04
74,12,0,1.0,2020-04-05
75,14,2,1.166,2020-04-06
76,15,1,1.071,2020-04-07
77,15,0,1.0,2020-04-08
78,15,0,1.0,2020-04-09
79,16,1,1.066,2020-04-10
80,16,0,1.0,2020-04-11
81,16,0,1.0,2020-04-12
82,16,0,1.0,2020-04-13
83,16,0,1.0,2020-04-14
84,16,0,1.0,2020-04-15
85,17,1,1.062,2020-04-16
86,17,0,1.0,2020-04-17
87,17,0,1.0,2020-04-18
88,17,0,1.0,2020-04-19
89,18,1,1.058,2020-04-20
90,18,0,1.0,2020-04-21
91,18,0,1.0,2020-04-22
92,18,0,1.0,2020-04-23
93,18,0,1.0,2020-04-24
94,18,0,1.0,2020-04-25
95,18,0,1.0,2020-04-26
96,18,0,1.0,2020-04-27
97,18,0,1.0,2020-04-28
98,18,0,1.0,2020-04-29
99,18,0,1.0,2020-04-30
100,18,0,1.0,2020-05-01
101,18,0,1.0,2020-05-02
102,18,0,1.0,2020-05-03
103,18,0,1.0,2020-05-04
104,18,0,1.0,2020-05-05
105,18,0,1.0,2020-05-06
106,18,0,1.0,2020-05-07
107,18,0,1.0,2020-05-08
108,18,0,1.0,2020-05-09
109,18,0,1.0,2020-05-10
110,18,0,1.0,2020-05-11
111,18,0,1.0,2020-05-12
112,18,0,1.0,2020-05-13
113,18,0,1.0,2020-05-14
114,18,0,1.0,2020-05-15
115,18,0,1.0,2020-05-16
116,18,0,1.0,2020-05-17
117,18,0,1.0,2020-05-18
118,18,0,1.0,2020-05-19
119,18,0,1.0,2020-05-20
120,18,0,1.0,2020-05-21
121,18,0,1.0,2020-05-22
122,18,0,1.0,2020-05-23
123,18,0,1.0,2020-05-24
