day,cases,cases_new,growth,date
2,2,2,1.0,2020-01-24
3,3,1,1.5,2020-01-25
4,3,0,1.0,2020-01-26
5,3,0,1.0,2020-01-27
6,4,1,1.333,2020-01-28
7,5,1,1.25,2020-01-29
8,5,0,1.0,2020-01-30
9,5,0,1.0,2020-01-31
10,6,1,1.2,2020-02-01
11,6,0,1.0,2020-02-02
12,6,0,1.0,2020-02-03
13,6,0,1.0,2020-02-04
14,6,0,1.0,2020-02-05
15,6,0,1.0,2020-02-06
16,6,0,1.0,2020-02-07
17,11,5,1.833,2020-02-08
18,11,0,1.0,2020-02-09
19,11,0,1.0,2020-02-10
20,11,0,1.0,2020-02-11
21,11,0,1.0,2020-02-12
22,11,0,1.0,2020-02-13
23,11,0,1.0,2020-02-14
24,12,1,1.090,2020-02-15
25,12,0,1.0,2020-02-16
26,12,0,1.0,2020-02-17
27,12,0,1.0,2020-02-18
28,12,0,1.0,2020-02-19
29,12,0,1.0,2020-02-20
30,12,0,1.0,2020-02-21
31,12,0,1.0,2020-02-22
32,12,0,1.0,2020-02-23
33,12,0,1.0,2020-02-24
34,14,2,1.166,2020-02-25
35,18,4,1.285,2020-02-26
36,38,20,2.111,2020-02-27
37,57,19,1.5,2020-02-28
38,100,43,1.754,2020-02-29
39,130,30,1.3,2020-03-01
40,191,61,1.469,2020-03-02
41,204,13,1.068,2020-03-03
42,285,81,1.397,2020-03-04
43,377,92,1.322,2020-03-05
44,653,276,1.732,2020-03-06
45,949,296,1.453,2020-03-07
46,1126,177,1.186,2020-03-08
47,1209,83,1.073,2020-03-09
48,1784,575,1.475,2020-03-10
49,2281,497,1.278,2020-03-11
50,2741,460,1.201,2020-03-12
51,3661,920,1.335,2020-03-13
52,4469,808,1.220,2020-03-14
53,4499,30,1.006,2020-03-15
54,6633,2134,1.474,2020-03-16
55,7652,1019,1.153,2020-03-17
56,9043,1391,1.181,2020-03-18
57,10871,1828,1.202,2020-03-19
58,12612,1741,1.160,2020-03-20
59,14282,1670,1.132,2020-03-21
60,16018,1736,1.121,2020-03-22
61,19856,3838,1.239,2020-03-23
62,22304,2448,1.123,2020-03-24
63,25233,2929,1.131,2020-03-25
