day,cases,cases_new,growth,date
45,5,5,1.0,2020-03-07
46,5,0,1.0,2020-03-08
47,5,0,1.0,2020-03-09
48,5,0,1.0,2020-03-10
49,5,0,1.0,2020-03-11
50,5,0,1.0,2020-03-12
51,5,0,1.0,2020-03-13
52,5,0,1.0,2020-03-14
53,7,2,1.4,2020-03-15
54,11,4,1.571,2020-03-16
55,11,0,1.0,2020-03-17
56,11,0,1.0,2020-03-18
57,11,0,1.0,2020-03-19
58,15,4,1.363,2020-03-20
59,18,3,1.2,2020-03-21
60,18,0,1.0,2020-03-22
61,20,2,1.111,2020-03-23
62,23,3,1.15,2020-03-24
63,28,5,1.217,2020-03-25
64,28,0,1.0,2020-03-26
65,28,0,1.0,2020-03-27
66,28,0,1.0,2020-03-28
67,28,0,1.0,2020-03-29
68,43,15,1.535,2020-03-30
69,43,0,1.0,2020-03-31
70,51,8,1.186,2020-04-01
71,51,0,1.0,2020-04-02
72,57,6,1.117,2020-04-03
