day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,3,2,3.0,2020-03-15
54,6,3,2.0,2020-03-16
55,18,12,3.0,2020-03-17
56,27,9,1.5,2020-03-18
57,33,6,1.222,2020-03-19
58,45,12,1.363,2020-03-20
59,53,8,1.177,2020-03-21
60,58,5,1.094,2020-03-22
61,62,4,1.068,2020-03-23
62,62,0,1.0,2020-03-24
63,73,11,1.177,2020-03-25
64,73,0,1.0,2020-03-26
65,73,0,1.0,2020-03-27
66,102,29,1.397,2020-03-28
67,106,4,1.039,2020-03-29
68,106,0,1.0,2020-03-30
69,114,8,1.075,2020-03-31
70,125,11,1.096,2020-04-01
71,128,3,1.024,2020-04-02
72,130,2,1.015,2020-04-03
73,134,4,1.030,2020-04-04
74,135,1,1.007,2020-04-05
75,135,0,1.0,2020-04-06
76,139,4,1.029,2020-04-07
77,141,2,1.014,2020-04-08
78,141,0,1.0,2020-04-09
79,143,2,1.014,2020-04-10
80,143,0,1.0,2020-04-11
81,143,0,1.0,2020-04-12
82,143,0,1.0,2020-04-13
83,145,2,1.013,2020-04-14
84,145,0,1.0,2020-04-15
85,145,0,1.0,2020-04-16
86,145,0,1.0,2020-04-17
87,148,3,1.020,2020-04-18
88,148,0,1.0,2020-04-19
89,148,0,1.0,2020-04-20
90,148,0,1.0,2020-04-21
91,148,0,1.0,2020-04-22
92,148,0,1.0,2020-04-23
