day,cases,cases_new,growth,date
45,2,2,1.0,2020-03-07
46,2,0,1.0,2020-03-08
47,2,0,1.0,2020-03-09
48,2,0,1.0,2020-03-10
49,3,1,1.5,2020-03-11
50,3,0,1.0,2020-03-12
51,3,0,1.0,2020-03-13
52,9,6,3.0,2020-03-14
53,9,0,1.0,2020-03-15
54,15,6,1.666,2020-03-16
55,16,1,1.066,2020-03-17
56,19,3,1.187,2020-03-18
57,23,4,1.210,2020-03-19
58,32,9,1.391,2020-03-20
59,32,0,1.0,2020-03-21
60,44,12,1.375,2020-03-22
61,53,9,1.204,2020-03-23
62,57,4,1.075,2020-03-24
63,66,9,1.157,2020-03-25
64,66,0,1.0,2020-03-26
65,81,15,1.227,2020-03-27
66,93,12,1.148,2020-03-28
67,93,0,1.0,2020-03-29
68,93,0,1.0,2020-03-30
69,128,35,1.376,2020-03-31
70,135,7,1.054,2020-04-01
71,138,3,1.022,2020-04-02
72,143,5,1.036,2020-04-03
73,145,2,1.013,2020-04-04
74,149,4,1.027,2020-04-05
75,151,2,1.013,2020-04-06
76,152,1,1.006,2020-04-07
77,154,2,1.013,2020-04-08
78,154,0,1.0,2020-04-09
79,155,1,1.006,2020-04-10
80,155,0,1.0,2020-04-11
81,155,0,1.0,2020-04-12
82,157,2,1.012,2020-04-13
83,157,0,1.0,2020-04-14
84,158,1,1.006,2020-04-15
85,158,0,1.0,2020-04-16
86,158,0,1.0,2020-04-17
87,158,0,1.0,2020-04-18
88,163,5,1.031,2020-04-19
89,163,0,1.0,2020-04-20
90,163,0,1.0,2020-04-21
91,164,1,1.006,2020-04-22
92,164,0,1.0,2020-04-23
93,170,6,1.036,2020-04-24
94,175,5,1.029,2020-04-25
95,175,0,1.0,2020-04-26
96,175,0,1.0,2020-04-27
97,175,0,1.0,2020-04-28
98,175,0,1.0,2020-04-29
99,178,3,1.017,2020-04-30
100,179,1,1.005,2020-05-01
101,179,0,1.0,2020-05-02
102,179,0,1.0,2020-05-03
103,181,2,1.011,2020-05-04
104,181,0,1.0,2020-05-05
105,182,1,1.005,2020-05-06
106,183,1,1.005,2020-05-07
107,186,3,1.016,2020-05-08
108,186,0,1.0,2020-05-09
109,186,0,1.0,2020-05-10
110,187,1,1.005,2020-05-11
111,187,0,1.0,2020-05-12
112,189,2,1.010,2020-05-13
113,189,0,1.0,2020-05-14
114,192,3,1.015,2020-05-15
115,192,0,1.0,2020-05-16
116,192,0,1.0,2020-05-17
117,192,0,1.0,2020-05-18
118,192,0,1.0,2020-05-19
119,192,0,1.0,2020-05-20
120,192,0,1.0,2020-05-21
121,197,5,1.026,2020-05-22
122,197,0,1.0,2020-05-23
123,197,0,1.0,2020-05-24
