day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,3,2,3.0,2020-03-18
57,3,0,1.0,2020-03-19
58,6,3,2.0,2020-03-20
59,7,1,1.166,2020-03-21
60,11,4,1.571,2020-03-22
61,24,13,2.181,2020-03-23
62,36,12,1.5,2020-03-24
63,36,0,1.0,2020-03-25
64,36,0,1.0,2020-03-26
65,50,14,1.388,2020-03-27
66,63,13,1.26,2020-03-28
67,63,0,1.0,2020-03-29
68,82,19,1.301,2020-03-30
69,94,12,1.146,2020-03-31
70,94,0,1.0,2020-04-01
71,116,22,1.234,2020-04-02
72,128,12,1.103,2020-04-03
73,134,6,1.046,2020-04-04
74,147,13,1.097,2020-04-05
75,147,0,1.0,2020-04-06
76,171,24,1.163,2020-04-07
77,171,0,1.0,2020-04-08
78,184,13,1.076,2020-04-09
79,191,7,1.038,2020-04-10
80,196,5,1.026,2020-04-11
81,196,0,1.0,2020-04-12
