day,cases,cases_new,growth,date
57,2,2,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,4,2,2.0,2020-03-21
60,4,0,1.0,2020-03-22
61,8,4,2.0,2020-03-23
62,10,2,1.25,2020-03-24
63,14,4,1.4,2020-03-25
64,14,0,1.0,2020-03-26
65,15,1,1.071,2020-03-27
66,15,0,1.0,2020-03-28
67,15,0,1.0,2020-03-29
68,15,0,1.0,2020-03-30
69,16,1,1.066,2020-03-31
70,16,0,1.0,2020-04-01
71,18,2,1.125,2020-04-02
72,18,0,1.0,2020-04-03
73,17,-1,0.944,2020-04-04
74,18,1,1.058,2020-04-05
75,18,0,1.0,2020-04-06
76,18,0,1.0,2020-04-07
77,18,0,1.0,2020-04-08
78,18,0,1.0,2020-04-09
79,18,0,1.0,2020-04-10
80,18,0,1.0,2020-04-11
81,18,0,1.0,2020-04-12
82,18,0,1.0,2020-04-13
83,18,0,1.0,2020-04-14
84,18,0,1.0,2020-04-15
85,18,0,1.0,2020-04-16
86,18,0,1.0,2020-04-17
87,18,0,1.0,2020-04-18
88,18,0,1.0,2020-04-19
89,18,0,1.0,2020-04-20
90,18,0,1.0,2020-04-21
91,18,0,1.0,2020-04-22
92,18,0,1.0,2020-04-23
93,18,0,1.0,2020-04-24
94,18,0,1.0,2020-04-25
95,18,0,1.0,2020-04-26
96,18,0,1.0,2020-04-27
97,18,0,1.0,2020-04-28
98,18,0,1.0,2020-04-29
99,18,0,1.0,2020-04-30
100,18,0,1.0,2020-05-01
101,18,0,1.0,2020-05-02
102,18,0,1.0,2020-05-03
103,18,0,1.0,2020-05-04
104,18,0,1.0,2020-05-05
105,18,0,1.0,2020-05-06
106,18,0,1.0,2020-05-07
107,18,0,1.0,2020-05-08
108,18,0,1.0,2020-05-09
109,18,0,1.0,2020-05-10
110,18,0,1.0,2020-05-11
111,18,0,1.0,2020-05-12
112,18,0,1.0,2020-05-13
113,18,0,1.0,2020-05-14
114,18,0,1.0,2020-05-15
115,18,0,1.0,2020-05-16
116,18,0,1.0,2020-05-17
117,18,0,1.0,2020-05-18
118,18,0,1.0,2020-05-19
119,18,0,1.0,2020-05-20
120,18,0,1.0,2020-05-21
121,18,0,1.0,2020-05-22
122,18,0,1.0,2020-05-23
123,18,0,1.0,2020-05-24
