day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,2,1,2.0,2020-03-12
51,5,3,2.5,2020-03-13
52,6,1,1.2,2020-03-14
53,7,1,1.166,2020-03-15
54,9,2,1.285,2020-03-16
55,9,0,1.0,2020-03-17
56,12,3,1.333,2020-03-18
57,14,2,1.166,2020-03-19
58,28,14,2.0,2020-03-20
59,45,17,1.607,2020-03-21
60,64,19,1.422,2020-03-22
61,71,7,1.109,2020-03-23
62,94,23,1.323,2020-03-24
63,111,17,1.180,2020-03-25
64,135,24,1.216,2020-03-26
65,145,10,1.074,2020-03-27
66,183,38,1.262,2020-03-28
67,183,0,1.0,2020-03-29
68,224,41,1.224,2020-03-30
69,247,23,1.102,2020-03-31
70,281,34,1.137,2020-04-01
71,308,27,1.096,2020-04-02
72,321,13,1.042,2020-04-03
73,334,13,1.040,2020-04-04
74,344,10,1.029,2020-04-05
75,349,5,1.014,2020-04-06
76,358,9,1.025,2020-04-07
77,358,0,1.0,2020-04-08
78,362,4,1.011,2020-04-09
79,382,20,1.055,2020-04-10
80,388,6,1.015,2020-04-11
81,389,1,1.002,2020-04-12
82,391,2,1.005,2020-04-13
83,391,0,1.0,2020-04-14
84,391,0,1.0,2020-04-15
85,394,3,1.007,2020-04-16
86,402,8,1.020,2020-04-17
87,407,5,1.012,2020-04-18
88,408,1,1.002,2020-04-19
89,408,0,1.0,2020-04-20
90,410,2,1.004,2020-04-21
91,410,0,1.0,2020-04-22
92,412,2,1.004,2020-04-23
93,412,0,1.0,2020-04-24
94,417,5,1.012,2020-04-25
95,417,0,1.0,2020-04-26
96,418,1,1.002,2020-04-27
97,418,0,1.0,2020-04-28
98,420,2,1.004,2020-04-29
99,420,0,1.0,2020-04-30
100,422,2,1.004,2020-05-01
101,423,1,1.002,2020-05-02
102,423,0,1.0,2020-05-03
103,424,1,1.002,2020-05-04
104,424,0,1.0,2020-05-05
105,425,1,1.002,2020-05-06
106,427,2,1.004,2020-05-07
107,426,-1,0.997,2020-05-08
108,431,5,1.011,2020-05-09
109,436,5,1.011,2020-05-10
110,436,0,1.0,2020-05-11
111,437,1,1.002,2020-05-12
112,439,2,1.004,2020-05-13
113,440,1,1.002,2020-05-14
114,441,1,1.002,2020-05-15
115,443,2,1.004,2020-05-16
116,443,0,1.0,2020-05-17
117,446,3,1.006,2020-05-18
118,446,0,1.0,2020-05-19
119,447,1,1.002,2020-05-20
120,449,2,1.004,2020-05-21
121,449,0,1.0,2020-05-22
122,452,3,1.006,2020-05-23
123,452,0,1.0,2020-05-24
