day,cases,cases_new,growth,date
74,1,1,1.0,2020-04-05
75,1,0,1.0,2020-04-06
76,1,0,1.0,2020-04-07
77,1,0,1.0,2020-04-08
78,1,0,1.0,2020-04-09
79,1,0,1.0,2020-04-10
80,1,0,1.0,2020-04-11
81,1,0,1.0,2020-04-12
82,1,0,1.0,2020-04-13
83,1,0,1.0,2020-04-14
84,1,0,1.0,2020-04-15
85,1,0,1.0,2020-04-16
86,1,0,1.0,2020-04-17
87,1,0,1.0,2020-04-18
88,1,0,1.0,2020-04-19
89,1,0,1.0,2020-04-20
90,1,0,1.0,2020-04-21
91,1,0,1.0,2020-04-22
92,1,0,1.0,2020-04-23
93,1,0,1.0,2020-04-24
94,1,0,1.0,2020-04-25
95,1,0,1.0,2020-04-26
96,1,0,1.0,2020-04-27
97,1,0,1.0,2020-04-28
98,1,0,1.0,2020-04-29
99,1,0,1.0,2020-04-30
100,1,0,1.0,2020-05-01
101,1,0,1.0,2020-05-02
102,1,0,1.0,2020-05-03
103,1,0,1.0,2020-05-04
104,1,0,1.0,2020-05-05
105,1,0,1.0,2020-05-06
106,1,0,1.0,2020-05-07
107,1,0,1.0,2020-05-08
108,1,0,1.0,2020-05-09
109,1,0,1.0,2020-05-10
110,1,0,1.0,2020-05-11
111,1,0,1.0,2020-05-12
112,1,0,1.0,2020-05-13
113,1,0,1.0,2020-05-14
114,1,0,1.0,2020-05-15
115,1,0,1.0,2020-05-16
116,1,0,1.0,2020-05-17
117,1,0,1.0,2020-05-18
118,1,0,1.0,2020-05-19
119,1,0,1.0,2020-05-20
120,1,0,1.0,2020-05-21
121,1,0,1.0,2020-05-22
122,1,0,1.0,2020-05-23
123,1,0,1.0,2020-05-24
