day,cases,cases_new,growth,date
47,2,2,1.0,2020-03-09
48,2,0,1.0,2020-03-10
49,2,0,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,2,0,1.0,2020-03-17
56,3,1,1.5,2020-03-18
57,4,1,1.333,2020-03-19
58,4,0,1.0,2020-03-20
59,4,0,1.0,2020-03-21
60,5,1,1.25,2020-03-22
61,8,3,1.6,2020-03-23
62,8,0,1.0,2020-03-24
63,11,3,1.375,2020-03-25
64,11,0,1.0,2020-03-26
65,11,0,1.0,2020-03-27
66,11,0,1.0,2020-03-28
67,11,0,1.0,2020-03-29
68,15,4,1.363,2020-03-30
