day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,3,2,3.0,2020-03-20
59,4,1,1.333,2020-03-21
60,5,1,1.25,2020-03-22
61,5,0,1.0,2020-03-23
62,6,1,1.2,2020-03-24
63,6,0,1.0,2020-03-25
64,7,1,1.166,2020-03-26
65,7,0,1.0,2020-03-27
66,7,0,1.0,2020-03-28
67,7,0,1.0,2020-03-29
68,7,0,1.0,2020-03-30
69,16,9,2.285,2020-03-31
70,18,2,1.125,2020-04-01
71,21,3,1.166,2020-04-02
72,21,0,1.0,2020-04-03
73,21,0,1.0,2020-04-04
74,21,0,1.0,2020-04-05
75,24,3,1.142,2020-04-06
76,30,6,1.25,2020-04-07
77,34,4,1.133,2020-04-08
78,44,10,1.294,2020-04-09
79,44,0,1.0,2020-04-10
80,46,2,1.045,2020-04-11
81,49,3,1.065,2020-04-12
82,57,8,1.163,2020-04-13
83,57,0,1.0,2020-04-14
84,80,23,1.403,2020-04-15
85,80,0,1.0,2020-04-16
86,108,28,1.35,2020-04-17
87,108,0,1.0,2020-04-18
88,109,1,1.009,2020-04-19
89,120,11,1.100,2020-04-20
90,156,36,1.3,2020-04-21
91,166,10,1.064,2020-04-22
92,167,1,1.006,2020-04-23
