day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,3,2,3.0,2020-03-01
40,3,0,1.0,2020-03-02
41,3,0,1.0,2020-03-03
42,3,0,1.0,2020-03-04
43,4,1,1.333,2020-03-05
44,4,0,1.0,2020-03-06
45,4,0,1.0,2020-03-07
46,13,9,3.25,2020-03-08
47,15,2,1.153,2020-03-09
48,15,0,1.0,2020-03-10
49,24,9,1.6,2020-03-11
50,24,0,1.0,2020-03-12
51,25,1,1.041,2020-03-13
52,30,5,1.2,2020-03-14
53,33,3,1.1,2020-03-15
54,33,0,1.0,2020-03-16
55,34,1,1.030,2020-03-17
56,38,4,1.117,2020-03-18
57,40,2,1.052,2020-03-19
58,43,3,1.075,2020-03-20
59,49,6,1.139,2020-03-21
60,54,5,1.102,2020-03-22
61,61,7,1.129,2020-03-23
62,70,9,1.147,2020-03-24
63,75,5,1.071,2020-03-25
64,79,4,1.053,2020-03-26
