day,cases,cases_new,growth,date
5,1,1,1.0,2020-01-27
6,4,3,4.0,2020-01-28
7,4,0,1.0,2020-01-29
8,4,0,1.0,2020-01-30
9,5,1,1.25,2020-01-31
10,8,3,1.6,2020-02-01
11,10,2,1.25,2020-02-02
12,12,2,1.2,2020-02-03
13,12,0,1.0,2020-02-04
14,12,0,1.0,2020-02-05
15,12,0,1.0,2020-02-06
16,13,1,1.083,2020-02-07
17,13,0,1.0,2020-02-08
18,14,1,1.076,2020-02-09
19,14,0,1.0,2020-02-10
20,16,2,1.142,2020-02-11
21,16,0,1.0,2020-02-12
22,16,0,1.0,2020-02-13
23,16,0,1.0,2020-02-14
24,16,0,1.0,2020-02-15
25,16,0,1.0,2020-02-16
26,16,0,1.0,2020-02-17
27,16,0,1.0,2020-02-18
28,16,0,1.0,2020-02-19
29,16,0,1.0,2020-02-20
30,16,0,1.0,2020-02-21
31,16,0,1.0,2020-02-22
32,16,0,1.0,2020-02-23
33,16,0,1.0,2020-02-24
34,17,1,1.062,2020-02-25
35,27,10,1.588,2020-02-26
36,46,19,1.703,2020-02-27
37,48,2,1.043,2020-02-28
38,79,31,1.645,2020-02-29
39,130,51,1.645,2020-03-01
40,159,29,1.223,2020-03-02
41,196,37,1.232,2020-03-03
42,262,66,1.336,2020-03-04
43,482,220,1.839,2020-03-05
44,670,188,1.390,2020-03-06
45,799,129,1.192,2020-03-07
46,1040,241,1.301,2020-03-08
47,1176,136,1.130,2020-03-09
48,1457,281,1.238,2020-03-10
49,1908,451,1.309,2020-03-11
50,2078,170,1.089,2020-03-12
51,3675,1597,1.768,2020-03-13
52,4585,910,1.247,2020-03-14
53,5795,1210,1.263,2020-03-15
54,7272,1477,1.254,2020-03-16
55,9257,1985,1.272,2020-03-17
56,12327,3070,1.331,2020-03-18
