day,cases,cases_new,growth,date
52,3,3,1.0,2020-03-14
53,6,3,2.0,2020-03-15
54,6,0,1.0,2020-03-16
55,7,1,1.166,2020-03-17
56,7,0,1.0,2020-03-18
57,11,4,1.571,2020-03-19
58,16,5,1.454,2020-03-20
59,19,3,1.187,2020-03-21
60,23,4,1.210,2020-03-22
61,27,4,1.173,2020-03-23
62,53,26,1.962,2020-03-24
63,93,40,1.754,2020-03-25
64,132,39,1.419,2020-03-26
65,137,5,1.037,2020-03-27
66,141,4,1.029,2020-03-28
67,152,11,1.078,2020-03-29
68,152,0,1.0,2020-03-30
69,161,9,1.059,2020-03-31
70,195,34,1.211,2020-04-01
71,204,9,1.046,2020-04-02
72,205,1,1.004,2020-04-03
73,205,0,1.0,2020-04-04
74,214,9,1.043,2020-04-05
75,214,0,1.0,2020-04-06
76,287,73,1.341,2020-04-07
77,313,26,1.090,2020-04-08
78,378,65,1.207,2020-04-09
79,378,0,1.0,2020-04-10
80,408,30,1.079,2020-04-11
81,566,158,1.387,2020-04-12
