day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,3,2,3.0,2020-02-27
37,4,1,1.333,2020-02-28
38,4,0,1.0,2020-02-29
39,7,3,1.75,2020-03-01
40,7,0,1.0,2020-03-02
41,7,0,1.0,2020-03-03
42,9,2,1.285,2020-03-04
43,31,22,3.444,2020-03-05
44,45,14,1.451,2020-03-06
45,46,1,1.022,2020-03-07
46,73,27,1.586,2020-03-08
47,73,0,1.0,2020-03-09
48,89,16,1.219,2020-03-10
49,99,10,1.112,2020-03-11
50,129,30,1.303,2020-03-12
51,190,61,1.472,2020-03-13
52,228,38,1.2,2020-03-14
53,331,103,1.451,2020-03-15
54,331,0,1.0,2020-03-16
55,387,56,1.169,2020-03-17
56,418,31,1.080,2020-03-18
57,418,0,1.0,2020-03-19
58,495,77,1.184,2020-03-20
59,530,35,1.070,2020-03-21
60,624,94,1.177,2020-03-22
61,695,71,1.113,2020-03-23
62,743,48,1.069,2020-03-24
63,821,78,1.104,2020-03-25
64,892,71,1.086,2020-03-26
65,966,74,1.082,2020-03-27
66,1061,95,1.098,2020-03-28
67,1156,95,1.089,2020-03-29
68,1212,56,1.048,2020-03-30
69,1314,102,1.084,2020-03-31
70,1415,101,1.076,2020-04-01
71,1544,129,1.091,2020-04-02
72,1613,69,1.044,2020-04-03
73,1673,60,1.037,2020-04-04
74,1735,62,1.037,2020-04-05
75,1755,20,1.011,2020-04-06
76,1832,77,1.043,2020-04-07
77,1884,52,1.028,2020-04-08
78,1955,71,1.037,2020-04-09
79,2011,56,1.028,2020-04-10
80,2081,70,1.034,2020-04-11
81,2114,33,1.015,2020-04-12
82,2145,31,1.014,2020-04-13
83,2170,25,1.011,2020-04-14
84,2192,22,1.010,2020-04-15
85,2207,15,1.006,2020-04-16
86,2224,17,1.007,2020-04-17
87,2235,11,1.004,2020-04-18
88,2235,0,1.0,2020-04-19
89,2245,10,1.004,2020-04-20
90,2401,156,1.069,2020-04-21
91,2408,7,1.002,2020-04-22
92,2463,55,1.022,2020-04-23
93,2490,27,1.010,2020-04-24
94,2506,16,1.006,2020-04-25
95,2517,11,1.004,2020-04-26
96,2534,17,1.006,2020-04-27
97,2566,32,1.012,2020-04-28
98,2576,10,1.003,2020-04-29
99,2591,15,1.005,2020-04-30
100,2612,21,1.008,2020-05-01
101,2620,8,1.003,2020-05-02
102,2626,6,1.002,2020-05-03
103,2632,6,1.002,2020-05-04
104,2642,10,1.003,2020-05-05
105,2663,21,1.007,2020-05-06
106,2678,15,1.005,2020-05-07
107,2691,13,1.004,2020-05-08
108,2710,19,1.007,2020-05-09
109,2716,6,1.002,2020-05-10
110,2726,10,1.003,2020-05-11
111,2744,18,1.006,2020-05-12
112,2760,16,1.005,2020-05-13
113,2770,10,1.003,2020-05-14
114,2810,40,1.014,2020-05-15
115,2819,9,1.003,2020-05-16
116,2834,15,1.005,2020-05-17
117,2836,2,1.000,2020-05-18
118,2840,4,1.001,2020-05-19
119,2850,10,1.003,2020-05-20
120,2853,3,1.001,2020-05-21
121,2874,21,1.007,2020-05-22
122,2876,2,1.000,2020-05-23
123,2878,2,1.000,2020-05-24
