day,cases,cases_new,growth,date
60,1,1,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,7,6,7.0,2020-03-26
65,7,0,1.0,2020-03-27
66,7,0,1.0,2020-03-28
67,9,2,1.285,2020-03-29
68,9,0,1.0,2020-03-30
69,9,0,1.0,2020-03-31
70,9,0,1.0,2020-04-01
71,10,1,1.111,2020-04-02
72,12,2,1.2,2020-04-03
73,12,0,1.0,2020-04-04
74,12,0,1.0,2020-04-05
75,12,0,1.0,2020-04-06
76,12,0,1.0,2020-04-07
77,12,0,1.0,2020-04-08
78,12,0,1.0,2020-04-09
79,14,2,1.166,2020-04-10
80,14,0,1.0,2020-04-11
81,14,0,1.0,2020-04-12
82,14,0,1.0,2020-04-13
83,14,0,1.0,2020-04-14
84,14,0,1.0,2020-04-15
85,14,0,1.0,2020-04-16
86,14,0,1.0,2020-04-17
87,14,0,1.0,2020-04-18
88,14,0,1.0,2020-04-19
89,14,0,1.0,2020-04-20
90,14,0,1.0,2020-04-21
91,15,1,1.071,2020-04-22
92,15,0,1.0,2020-04-23
