day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,2,1,2.0,2020-03-16
55,6,4,3.0,2020-03-17
56,6,0,1.0,2020-03-18
57,9,3,1.5,2020-03-19
58,12,3,1.333,2020-03-20
59,17,5,1.416,2020-03-21
60,19,2,1.117,2020-03-22
61,20,1,1.052,2020-03-23
62,21,1,1.05,2020-03-24
63,24,3,1.142,2020-03-25
64,25,1,1.041,2020-03-26
65,28,3,1.12,2020-03-27
66,34,6,1.214,2020-03-28
67,34,0,1.0,2020-03-29
68,36,2,1.058,2020-03-30
69,38,2,1.055,2020-03-31
70,39,1,1.026,2020-04-01
71,47,8,1.205,2020-04-02
72,50,3,1.063,2020-04-03
73,61,11,1.22,2020-04-04
74,61,0,1.0,2020-04-05
75,70,9,1.147,2020-04-06
76,77,7,1.1,2020-04-07
77,87,10,1.129,2020-04-08
78,95,8,1.091,2020-04-09
79,126,31,1.326,2020-04-10
80,137,11,1.087,2020-04-11
81,155,18,1.131,2020-04-12
