day,cases,cases_new,growth,date
63,2,2,1.0,2020-03-25
64,2,0,1.0,2020-03-26
65,2,0,1.0,2020-03-27
66,2,0,1.0,2020-03-28
67,2,0,1.0,2020-03-29
68,8,6,4.0,2020-03-30
69,8,0,1.0,2020-03-31
70,9,1,1.125,2020-04-01
71,9,0,1.0,2020-04-02
72,15,6,1.666,2020-04-03
73,18,3,1.2,2020-04-04
74,18,0,1.0,2020-04-05
75,18,0,1.0,2020-04-06
76,33,15,1.833,2020-04-07
77,33,0,1.0,2020-04-08
78,36,3,1.090,2020-04-09
79,36,0,1.0,2020-04-10
80,38,2,1.055,2020-04-11
81,38,0,1.0,2020-04-12
82,38,0,1.0,2020-04-13
83,38,0,1.0,2020-04-14
84,43,5,1.131,2020-04-15
85,43,0,1.0,2020-04-16
86,43,0,1.0,2020-04-17
87,46,3,1.069,2020-04-18
88,50,4,1.086,2020-04-19
89,50,0,1.0,2020-04-20
90,50,0,1.0,2020-04-21
91,50,0,1.0,2020-04-22
92,50,0,1.0,2020-04-23
93,52,2,1.04,2020-04-24
94,52,0,1.0,2020-04-25
95,53,1,1.019,2020-04-26
96,73,20,1.377,2020-04-27
97,73,0,1.0,2020-04-28
98,205,132,2.808,2020-04-29
99,205,0,1.0,2020-04-30
100,257,52,1.253,2020-05-01
101,257,0,1.0,2020-05-02
102,257,0,1.0,2020-05-03
103,413,156,1.607,2020-05-04
104,413,0,1.0,2020-05-05
105,475,62,1.150,2020-05-06
106,564,89,1.187,2020-05-07
107,594,30,1.053,2020-05-08
108,641,47,1.079,2020-05-09
109,726,85,1.132,2020-05-10
110,761,35,1.048,2020-05-11
111,820,59,1.077,2020-05-12
112,836,16,1.019,2020-05-13
113,913,77,1.092,2020-05-14
114,913,0,1.0,2020-05-15
115,969,56,1.061,2020-05-16
116,990,21,1.021,2020-05-17
117,1032,42,1.042,2020-05-18
118,1038,6,1.005,2020-05-19
119,1089,51,1.049,2020-05-20
120,1109,20,1.018,2020-05-21
121,1114,5,1.004,2020-05-22
122,1114,0,1.0,2020-05-23
123,1114,0,1.0,2020-05-24
