day,cases,cases_new,growth,date
50,1,1,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,4,3,4.0,2020-03-15
54,4,0,1.0,2020-03-16
55,7,3,1.75,2020-03-17
56,7,0,1.0,2020-03-18
57,7,0,1.0,2020-03-19
58,7,0,1.0,2020-03-20
59,7,0,1.0,2020-03-21
60,19,12,2.714,2020-03-22
61,20,1,1.052,2020-03-23
62,5,-15,0.25,2020-03-24
63,5,0,1.0,2020-03-25
64,5,0,1.0,2020-03-26
65,5,0,1.0,2020-03-27
66,8,3,1.6,2020-03-28
67,8,0,1.0,2020-03-29
68,8,0,1.0,2020-03-30
69,12,4,1.5,2020-03-31
70,19,7,1.583,2020-04-01
71,19,0,1.0,2020-04-02
72,23,4,1.210,2020-04-03
73,23,0,1.0,2020-04-04
74,24,1,1.043,2020-04-05
75,31,7,1.291,2020-04-06
76,33,2,1.064,2020-04-07
77,37,4,1.121,2020-04-08
78,37,0,1.0,2020-04-09
79,37,0,1.0,2020-04-10
80,45,8,1.216,2020-04-11
81,45,0,1.0,2020-04-12
82,45,0,1.0,2020-04-13
83,47,2,1.044,2020-04-14
84,55,8,1.170,2020-04-15
85,55,0,1.0,2020-04-16
86,63,8,1.145,2020-04-17
87,63,0,1.0,2020-04-18
88,65,2,1.031,2020-04-19
89,65,0,1.0,2020-04-20
90,66,1,1.015,2020-04-21
91,67,1,1.015,2020-04-22
92,70,3,1.044,2020-04-23
93,73,3,1.042,2020-04-24
94,73,0,1.0,2020-04-25
95,74,1,1.013,2020-04-26
96,74,0,1.0,2020-04-27
97,74,0,1.0,2020-04-28
98,78,4,1.054,2020-04-29
99,82,4,1.051,2020-04-30
100,82,0,1.0,2020-05-01
101,82,0,1.0,2020-05-02
102,82,0,1.0,2020-05-03
103,92,10,1.121,2020-05-04
104,93,1,1.010,2020-05-05
105,93,0,1.0,2020-05-06
106,93,0,1.0,2020-05-07
107,94,1,1.010,2020-05-08
108,94,0,1.0,2020-05-09
109,104,10,1.106,2020-05-10
110,109,5,1.048,2020-05-11
111,113,4,1.036,2020-05-12
112,113,0,1.0,2020-05-13
113,113,0,1.0,2020-05-14
114,116,3,1.026,2020-05-15
115,117,1,1.008,2020-05-16
116,117,0,1.0,2020-05-17
117,124,7,1.059,2020-05-18
118,125,1,1.008,2020-05-19
119,125,0,1.0,2020-05-20
120,127,2,1.016,2020-05-21
121,127,0,1.0,2020-05-22
122,127,0,1.0,2020-05-23
123,135,8,1.062,2020-05-24
