day,cases,cases_new,growth,date
58,2,2,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,2,0,1.0,2020-03-22
61,6,4,3.0,2020-03-23
62,7,1,1.166,2020-03-24
63,8,1,1.142,2020-03-25
64,8,0,1.0,2020-03-26
65,8,0,1.0,2020-03-27
66,8,0,1.0,2020-03-28
67,15,7,1.875,2020-03-29
68,15,0,1.0,2020-03-30
69,15,0,1.0,2020-03-31
70,16,1,1.066,2020-04-01
71,16,0,1.0,2020-04-02
72,18,2,1.125,2020-04-03
73,20,2,1.111,2020-04-04
74,21,1,1.05,2020-04-05
75,24,3,1.142,2020-04-06
76,25,1,1.041,2020-04-07
77,27,2,1.08,2020-04-08
78,30,3,1.111,2020-04-09
79,31,1,1.033,2020-04-10
80,33,2,1.064,2020-04-11
81,33,0,1.0,2020-04-12
82,40,7,1.212,2020-04-13
83,40,0,1.0,2020-04-14
84,41,1,1.025,2020-04-15
85,41,0,1.0,2020-04-16
86,43,2,1.048,2020-04-17
87,44,1,1.023,2020-04-18
88,47,3,1.068,2020-04-19
89,57,10,1.212,2020-04-20
90,57,0,1.0,2020-04-21
91,62,5,1.087,2020-04-22
92,72,10,1.161,2020-04-23
93,72,0,1.0,2020-04-24
94,72,0,1.0,2020-04-25
95,74,2,1.027,2020-04-26
96,76,2,1.027,2020-04-27
97,76,0,1.0,2020-04-28
98,76,0,1.0,2020-04-29
99,81,5,1.065,2020-04-30
100,85,4,1.049,2020-05-01
101,85,0,1.0,2020-05-02
102,88,3,1.035,2020-05-03
103,100,12,1.136,2020-05-04
104,101,1,1.01,2020-05-05
105,101,0,1.0,2020-05-06
106,129,28,1.277,2020-05-07
107,146,17,1.131,2020-05-08
108,151,5,1.034,2020-05-09
109,182,31,1.205,2020-05-10
110,209,27,1.148,2020-05-11
111,209,0,1.0,2020-05-12
112,234,25,1.119,2020-05-13
113,273,39,1.166,2020-05-14
114,310,37,1.135,2020-05-15
115,358,48,1.154,2020-05-16
116,456,98,1.273,2020-05-17
117,533,77,1.168,2020-05-18
118,533,0,1.0,2020-05-19
119,596,63,1.118,2020-05-20
120,734,138,1.231,2020-05-21
121,812,78,1.106,2020-05-22
122,865,53,1.065,2020-05-23
123,865,0,1.0,2020-05-24
