day,cases,cases_new,growth,date
49,2,2,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,3,1,1.5,2020-03-15
54,6,3,2.0,2020-03-16
55,8,2,1.333,2020-03-17
56,9,1,1.125,2020-03-18
57,12,3,1.333,2020-03-19
58,24,12,2.0,2020-03-20
59,24,0,1.0,2020-03-21
60,26,2,1.083,2020-03-22
61,30,4,1.153,2020-03-23
62,30,0,1.0,2020-03-24
63,36,6,1.2,2020-03-25
64,52,16,1.444,2020-03-26
65,68,16,1.307,2020-03-27
66,95,27,1.397,2020-03-28
67,110,15,1.157,2020-03-29
68,139,29,1.263,2020-03-30
69,141,2,1.014,2020-03-31
70,172,31,1.219,2020-04-01
71,219,47,1.273,2020-04-02
72,222,3,1.013,2020-04-03
73,264,42,1.189,2020-04-04
74,268,4,1.015,2020-04-05
75,298,30,1.111,2020-04-06
76,305,7,1.023,2020-04-07
77,312,7,1.022,2020-04-08
78,343,31,1.099,2020-04-09
79,382,39,1.113,2020-04-10
80,392,10,1.026,2020-04-11
81,393,1,1.002,2020-04-12
82,397,4,1.010,2020-04-13
83,407,10,1.025,2020-04-14
84,419,12,1.029,2020-04-15
85,426,7,1.016,2020-04-16
86,442,16,1.037,2020-04-17
87,457,15,1.033,2020-04-18
88,472,15,1.032,2020-04-19
89,477,5,1.010,2020-04-20
90,494,17,1.035,2020-04-21
91,510,16,1.032,2020-04-22
92,519,9,1.017,2020-04-23
93,591,72,1.138,2020-04-24
94,627,36,1.060,2020-04-25
95,627,0,1.0,2020-04-26
96,661,34,1.054,2020-04-27
97,702,41,1.062,2020-04-28
98,738,36,1.051,2020-04-29
99,771,33,1.044,2020-04-30
100,804,33,1.042,2020-05-01
101,1010,206,1.256,2020-05-02
102,1055,45,1.044,2020-05-03
103,1178,123,1.116,2020-05-04
104,1270,92,1.078,2020-05-05
105,1461,191,1.150,2020-05-06
106,1685,224,1.153,2020-05-07
107,1771,86,1.051,2020-05-08
108,1830,59,1.033,2020-05-09
109,1972,142,1.077,2020-05-10
110,2100,128,1.064,2020-05-11
111,2080,-20,0.990,2020-05-12
112,2255,175,1.084,2020-05-13
113,2318,63,1.027,2020-05-14
114,2460,142,1.061,2020-05-15
115,2565,105,1.042,2020-05-16
116,2646,81,1.031,2020-05-17
117,2798,152,1.057,2020-05-18
118,2955,157,1.056,2020-05-19
119,2955,0,1.0,2020-05-20
120,3204,249,1.084,2020-05-21
121,3477,273,1.085,2020-05-22
122,3477,0,1.0,2020-05-23
123,3950,473,1.136,2020-05-24
