day,cases,cases_new,growth,date
42,2,2,1.0,2020-03-04
43,2,0,1.0,2020-03-05
44,2,0,1.0,2020-03-06
45,4,2,2.0,2020-03-07
46,7,3,1.75,2020-03-08
47,9,2,1.285,2020-03-09
48,9,0,1.0,2020-03-10
49,13,4,1.444,2020-03-11
50,15,2,1.153,2020-03-12
51,19,4,1.266,2020-03-13
52,30,11,1.578,2020-03-14
53,32,2,1.066,2020-03-15
54,39,7,1.218,2020-03-16
55,50,11,1.282,2020-03-17
56,58,8,1.16,2020-03-18
57,73,15,1.258,2020-03-19
58,85,12,1.164,2020-03-20
59,103,18,1.211,2020-03-21
60,131,28,1.271,2020-03-22
61,167,36,1.274,2020-03-23
62,187,20,1.119,2020-03-24
63,226,39,1.208,2020-03-25
64,261,35,1.154,2020-03-26
65,300,39,1.149,2020-03-27
66,343,43,1.143,2020-03-28
67,408,65,1.189,2020-03-29
68,447,39,1.095,2020-03-30
69,492,45,1.100,2020-03-31
70,525,33,1.067,2020-04-01
71,585,60,1.114,2020-04-02
72,623,38,1.064,2020-04-03
73,678,55,1.088,2020-04-04
74,733,55,1.081,2020-04-05
75,744,11,1.015,2020-04-06
76,817,73,1.098,2020-04-07
77,895,78,1.095,2020-04-08
78,980,85,1.094,2020-04-09
79,1190,210,1.214,2020-04-10
80,1310,120,1.100,2020-04-11
81,1410,100,1.076,2020-04-12
82,1458,48,1.034,2020-04-13
83,1512,54,1.037,2020-04-14
84,1579,67,1.044,2020-04-15
85,1652,73,1.046,2020-04-16
86,1763,111,1.067,2020-04-17
87,1834,71,1.040,2020-04-18
88,1916,82,1.044,2020-04-19
89,1984,68,1.035,2020-04-20
90,2098,114,1.057,2020-04-21
91,2168,70,1.033,2020-04-22
92,2284,116,1.053,2020-04-23
