day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,3,2,3.0,2020-03-01
40,6,3,2.0,2020-03-02
41,11,5,1.833,2020-03-03
42,26,15,2.363,2020-03-04
43,34,8,1.307,2020-03-05
44,43,9,1.264,2020-03-06
45,50,7,1.162,2020-03-07
46,50,0,1.0,2020-03-08
47,58,8,1.16,2020-03-09
48,69,11,1.189,2020-03-10
49,85,16,1.231,2020-03-11
50,103,18,1.211,2020-03-12
51,134,31,1.300,2020-03-13
52,156,22,1.164,2020-03-14
53,171,15,1.096,2020-03-15
54,180,9,1.052,2020-03-16
55,220,40,1.222,2020-03-17
56,250,30,1.136,2020-03-18
57,330,80,1.32,2020-03-19
58,409,79,1.239,2020-03-20
59,473,64,1.156,2020-03-21
60,568,95,1.200,2020-03-22
61,588,20,1.035,2020-03-23
62,648,60,1.102,2020-03-24
63,737,89,1.137,2020-03-25
64,802,65,1.088,2020-03-26
65,890,88,1.109,2020-03-27
66,963,73,1.082,2020-03-28
67,1020,57,1.059,2020-03-29
68,1086,66,1.064,2020-03-30
69,1135,49,1.045,2020-03-31
70,1220,85,1.074,2020-04-01
71,1319,99,1.081,2020-04-02
72,1364,45,1.034,2020-04-03
73,1417,53,1.038,2020-04-04
74,1486,69,1.048,2020-04-05
75,1562,76,1.051,2020-04-06
76,1586,24,1.015,2020-04-07
77,1616,30,1.018,2020-04-08
78,1648,32,1.019,2020-04-09
79,1675,27,1.016,2020-04-10
80,1689,14,1.008,2020-04-11
81,1701,12,1.007,2020-04-12
