day,cases,cases_new,growth,date
8,1,1,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,2,1,2.0,2020-02-02
12,3,1,1.5,2020-02-03
13,3,0,1.0,2020-02-04
14,3,0,1.0,2020-02-05
15,3,0,1.0,2020-02-06
16,3,0,1.0,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,3,0,1.0,2020-02-10
20,3,0,1.0,2020-02-11
21,3,0,1.0,2020-02-12
22,3,0,1.0,2020-02-13
23,3,0,1.0,2020-02-14
24,3,0,1.0,2020-02-15
25,3,0,1.0,2020-02-16
26,3,0,1.0,2020-02-17
27,3,0,1.0,2020-02-18
28,3,0,1.0,2020-02-19
29,3,0,1.0,2020-02-20
30,3,0,1.0,2020-02-21
31,3,0,1.0,2020-02-22
32,3,0,1.0,2020-02-23
33,3,0,1.0,2020-02-24
34,3,0,1.0,2020-02-25
35,3,0,1.0,2020-02-26
36,3,0,1.0,2020-02-27
37,3,0,1.0,2020-02-28
38,3,0,1.0,2020-02-29
39,3,0,1.0,2020-03-01
40,5,2,1.666,2020-03-02
41,5,0,1.0,2020-03-03
42,28,23,5.6,2020-03-04
43,30,2,1.071,2020-03-05
44,31,1,1.033,2020-03-06
45,34,3,1.096,2020-03-07
46,39,5,1.147,2020-03-08
47,43,4,1.102,2020-03-09
48,56,13,1.302,2020-03-10
49,62,6,1.107,2020-03-11
50,73,11,1.177,2020-03-12
51,82,9,1.123,2020-03-13
52,102,20,1.243,2020-03-14
53,113,11,1.107,2020-03-15
54,119,6,1.053,2020-03-16
55,142,23,1.193,2020-03-17
56,156,14,1.098,2020-03-18
57,194,38,1.243,2020-03-19
58,244,50,1.257,2020-03-20
59,330,86,1.352,2020-03-21
60,396,66,1.2,2020-03-22
61,499,103,1.260,2020-03-23
62,536,37,1.074,2020-03-24
63,657,121,1.225,2020-03-25
64,727,70,1.106,2020-03-26
65,887,160,1.220,2020-03-27
66,987,100,1.112,2020-03-28
67,1024,37,1.037,2020-03-29
68,1251,227,1.221,2020-03-30
69,1397,146,1.116,2020-03-31
70,1998,601,1.430,2020-04-01
71,2543,545,1.272,2020-04-02
72,2567,24,1.009,2020-04-03
73,3082,515,1.200,2020-04-04
74,3588,506,1.164,2020-04-05
75,4778,1190,1.331,2020-04-06
76,5311,533,1.111,2020-04-07
77,5916,605,1.113,2020-04-08
78,6725,809,1.136,2020-04-09
79,7598,873,1.129,2020-04-10
80,8446,848,1.111,2020-04-11
81,9205,759,1.089,2020-04-12
82,10453,1248,1.135,2020-04-13
83,11487,1034,1.098,2020-04-14
84,12322,835,1.072,2020-04-15
85,13430,1108,1.089,2020-04-16
86,14352,922,1.068,2020-04-17
87,15722,1370,1.095,2020-04-18
88,17615,1893,1.120,2020-04-19
89,18539,924,1.052,2020-04-20
90,20080,1541,1.083,2020-04-21
91,21370,1290,1.064,2020-04-22
92,23077,1707,1.079,2020-04-23
93,24530,1453,1.062,2020-04-24
94,26283,1753,1.071,2020-04-25
95,27890,1607,1.061,2020-04-26
96,29451,1561,1.055,2020-04-27
97,31324,1873,1.063,2020-04-28
98,33062,1738,1.055,2020-04-29
99,34863,1801,1.054,2020-04-30
100,37257,2394,1.068,2020-05-01
101,39699,2442,1.065,2020-05-02
102,42505,2806,1.070,2020-05-03
103,46437,3932,1.092,2020-05-04
104,49400,2963,1.063,2020-05-05
105,52987,3587,1.072,2020-05-06
106,56351,3364,1.063,2020-05-07
107,59695,3344,1.059,2020-05-08
108,62808,3113,1.052,2020-05-09
109,67161,4353,1.069,2020-05-10
110,70768,3607,1.053,2020-05-11
111,74292,3524,1.049,2020-05-12
112,78055,3763,1.050,2020-05-13
113,81997,3942,1.050,2020-05-14
114,85784,3787,1.046,2020-05-15
115,90648,4864,1.056,2020-05-16
116,95698,5050,1.055,2020-05-17
117,100328,4630,1.048,2020-05-18
118,106475,6147,1.061,2020-05-19
119,112028,5553,1.052,2020-05-20
120,118226,6198,1.055,2020-05-21
121,124794,6568,1.055,2020-05-22
122,131423,6629,1.053,2020-05-23
123,138536,7113,1.054,2020-05-24
