day,cases,cases_new,growth,date
40,2,2,1.0,2020-03-02
41,2,0,1.0,2020-03-03
42,2,0,1.0,2020-03-04
43,2,0,1.0,2020-03-05
44,4,2,2.0,2020-03-06
45,4,0,1.0,2020-03-07
46,6,2,1.5,2020-03-08
47,19,13,3.166,2020-03-09
48,27,8,1.421,2020-03-10
49,34,7,1.259,2020-03-11
50,45,11,1.323,2020-03-12
51,69,24,1.533,2020-03-13
52,96,27,1.391,2020-03-14
53,117,21,1.218,2020-03-15
54,134,17,1.145,2020-03-16
55,172,38,1.283,2020-03-17
56,227,55,1.319,2020-03-18
57,311,84,1.370,2020-03-19
58,369,58,1.186,2020-03-20
59,450,81,1.219,2020-03-21
60,514,64,1.142,2020-03-22
61,579,65,1.126,2020-03-23
62,686,107,1.184,2020-03-24
63,790,104,1.151,2020-03-25
64,893,103,1.130,2020-03-26
65,1046,153,1.171,2020-03-27
66,1155,109,1.104,2020-03-28
67,1285,130,1.112,2020-03-29
68,1414,129,1.100,2020-03-30
69,1528,114,1.080,2020-03-31
70,1677,149,1.097,2020-04-01
71,1790,113,1.067,2020-04-02
72,1986,196,1.109,2020-04-03
73,2092,106,1.053,2020-04-04
74,2273,181,1.086,2020-04-05
75,2491,218,1.095,2020-04-06
76,2738,247,1.099,2020-04-07
77,2956,218,1.079,2020-04-08
78,3293,337,1.114,2020-04-09
79,3512,219,1.066,2020-04-10
80,3842,330,1.093,2020-04-11
81,4241,399,1.103,2020-04-12
82,4557,316,1.074,2020-04-13
83,4839,282,1.061,2020-04-14
84,5136,297,1.061,2020-04-15
85,5516,380,1.073,2020-04-16
86,5923,407,1.073,2020-04-17
87,6248,325,1.054,2020-04-18
88,6575,327,1.052,2020-04-19
89,6760,185,1.028,2020-04-20
90,7135,375,1.055,2020-04-21
91,7418,283,1.039,2020-04-22
92,7775,357,1.048,2020-04-23
93,8211,436,1.056,2020-04-24
94,8607,396,1.048,2020-04-25
95,8882,275,1.031,2020-04-26
96,9096,214,1.024,2020-04-27
97,9511,415,1.045,2020-04-28
98,9771,260,1.027,2020-04-29
99,10118,347,1.035,2020-04-30
100,10551,433,1.042,2020-05-01
101,10843,292,1.027,2020-05-02
102,11192,349,1.032,2020-05-03
103,11587,395,1.035,2020-05-04
104,12071,484,1.041,2020-05-05
105,12438,367,1.030,2020-05-06
106,12776,338,1.027,2020-05-07
107,13112,336,1.026,2020-05-08
108,13645,533,1.040,2020-05-09
109,14032,387,1.028,2020-05-10
110,14265,233,1.016,2020-05-11
111,14749,484,1.033,2020-05-12
112,15438,689,1.046,2020-05-13
113,16006,568,1.036,2020-05-14
114,16496,490,1.030,2020-05-15
115,17025,529,1.032,2020-05-16
116,17514,489,1.028,2020-05-17
117,18010,496,1.028,2020-05-18
118,18496,486,1.026,2020-05-19
119,19189,693,1.037,2020-05-20
120,20162,973,1.050,2020-05-21
121,20796,634,1.031,2020-05-22
122,21745,949,1.045,2020-05-23
123,22271,526,1.024,2020-05-24
