day,cases,cases_new,growth,date
28,2,2,1.0,2020-02-19
29,5,3,2.5,2020-02-20
30,18,13,3.6,2020-02-21
31,28,10,1.555,2020-02-22
32,43,15,1.535,2020-02-23
33,61,18,1.418,2020-02-24
34,95,34,1.557,2020-02-25
35,139,44,1.463,2020-02-26
36,245,106,1.762,2020-02-27
37,388,143,1.583,2020-02-28
38,593,205,1.528,2020-02-29
39,978,385,1.649,2020-03-01
40,1501,523,1.534,2020-03-02
41,2336,835,1.556,2020-03-03
42,2922,586,1.250,2020-03-04
43,3513,591,1.202,2020-03-05
44,4747,1234,1.351,2020-03-06
45,5823,1076,1.226,2020-03-07
46,6566,743,1.127,2020-03-08
47,7161,595,1.090,2020-03-09
48,8042,881,1.123,2020-03-10
49,9000,958,1.119,2020-03-11
50,10075,1075,1.119,2020-03-12
51,11364,1289,1.127,2020-03-13
52,12729,1365,1.120,2020-03-14
53,13938,1209,1.094,2020-03-15
54,14991,1053,1.075,2020-03-16
55,16169,1178,1.078,2020-03-17
56,17361,1192,1.073,2020-03-18
57,18407,1046,1.060,2020-03-19
58,19644,1237,1.067,2020-03-20
59,20610,966,1.049,2020-03-21
60,21638,1028,1.049,2020-03-22
61,23049,1411,1.065,2020-03-23
62,24811,1762,1.076,2020-03-24
63,27017,2206,1.088,2020-03-25
64,29406,2389,1.088,2020-03-26
65,32332,2926,1.099,2020-03-27
66,35408,3076,1.095,2020-03-28
67,38309,2901,1.081,2020-03-29
68,41495,3186,1.083,2020-03-30
69,44605,3110,1.074,2020-03-31
70,47593,2988,1.066,2020-04-01
71,50468,2875,1.060,2020-04-02
72,53183,2715,1.053,2020-04-03
73,55743,2560,1.048,2020-04-04
74,58226,2483,1.044,2020-04-05
75,60500,2274,1.039,2020-04-06
76,62589,2089,1.034,2020-04-07
77,64586,1997,1.031,2020-04-08
78,66220,1634,1.025,2020-04-09
79,68192,1972,1.029,2020-04-10
80,70029,1837,1.026,2020-04-11
81,71686,1657,1.023,2020-04-12
82,73303,1617,1.022,2020-04-13
83,74877,1574,1.021,2020-04-14
84,76389,1512,1.020,2020-04-15
85,77995,1606,1.021,2020-04-16
86,79494,1499,1.019,2020-04-17
87,80868,1374,1.017,2020-04-18
88,82211,1343,1.016,2020-04-19
89,83505,1294,1.015,2020-04-20
90,84802,1297,1.015,2020-04-21
91,85996,1194,1.014,2020-04-22
92,87026,1030,1.011,2020-04-23
93,88194,1168,1.013,2020-04-24
94,89328,1134,1.012,2020-04-25
95,90481,1153,1.012,2020-04-26
96,91472,991,1.010,2020-04-27
97,92584,1112,1.012,2020-04-28
98,93657,1073,1.011,2020-04-29
99,94640,983,1.010,2020-04-30
100,95646,1006,1.010,2020-05-01
101,96448,802,1.008,2020-05-02
102,97424,976,1.010,2020-05-03
103,98647,1223,1.012,2020-05-04
104,99970,1323,1.013,2020-05-05
105,101650,1680,1.016,2020-05-06
106,103135,1485,1.014,2020-05-07
107,104691,1556,1.015,2020-05-08
108,106220,1529,1.014,2020-05-09
109,107603,1383,1.013,2020-05-10
110,109286,1683,1.015,2020-05-11
111,110767,1481,1.013,2020-05-12
112,112725,1958,1.017,2020-05-13
113,114533,1808,1.016,2020-05-14
114,116635,2102,1.018,2020-05-15
115,118392,1757,1.015,2020-05-16
116,120198,1806,1.015,2020-05-17
117,122492,2294,1.019,2020-05-18
118,124603,2111,1.017,2020-05-19
119,126949,2346,1.018,2020-05-20
120,129341,2392,1.018,2020-05-21
121,131652,2311,1.017,2020-05-22
122,133521,1869,1.014,2020-05-23
123,135701,2180,1.016,2020-05-24
