day,cases,cases_new,growth,date
33,1,1,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,5,4,5.0,2020-02-26
36,7,2,1.4,2020-02-27
37,7,0,1.0,2020-02-28
38,13,6,1.857,2020-02-29
39,19,6,1.461,2020-03-01
40,26,7,1.368,2020-03-02
41,32,6,1.230,2020-03-03
42,35,3,1.093,2020-03-04
43,35,0,1.0,2020-03-05
44,40,5,1.142,2020-03-06
45,54,14,1.35,2020-03-07
46,60,6,1.111,2020-03-08
47,60,0,1.0,2020-03-09
48,71,11,1.183,2020-03-10
49,71,0,1.0,2020-03-11
50,71,0,1.0,2020-03-12
51,101,30,1.422,2020-03-13
52,110,9,1.089,2020-03-14
53,116,6,1.054,2020-03-15
54,124,8,1.068,2020-03-16
55,154,30,1.241,2020-03-17
56,164,10,1.064,2020-03-18
57,192,28,1.170,2020-03-19
58,208,16,1.083,2020-03-20
59,214,6,1.028,2020-03-21
