day,cases,cases_new,growth,date
38,1,1,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,2,1,2.0,2020-03-03
42,6,4,3.0,2020-03-04
43,13,7,2.166,2020-03-05
44,18,5,1.384,2020-03-06
45,19,1,1.055,2020-03-07
46,21,2,1.105,2020-03-08
47,24,3,1.142,2020-03-09
48,34,10,1.416,2020-03-10
49,43,9,1.264,2020-03-11
50,70,27,1.627,2020-03-12
51,90,20,1.285,2020-03-13
52,129,39,1.433,2020-03-14
53,169,40,1.310,2020-03-15
54,223,54,1.319,2020-03-16
55,292,69,1.309,2020-03-17
56,366,74,1.253,2020-03-18
57,557,191,1.521,2020-03-19
58,683,126,1.226,2020-03-20
59,785,102,1.149,2020-03-21
60,906,121,1.154,2020-03-22
61,1125,219,1.241,2020-03-23
62,1329,204,1.181,2020-03-24
63,1564,235,1.176,2020-03-25
64,1819,255,1.163,2020-03-26
