day,cases,cases_new,growth,date
30,1,1,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,2,1,2.0,2020-02-26
36,3,1,1.5,2020-02-27
37,4,1,1.333,2020-02-28
38,7,3,1.75,2020-02-29
39,10,3,1.428,2020-03-01
40,10,0,1.0,2020-03-02
41,12,2,1.2,2020-03-03
42,15,3,1.25,2020-03-04
43,20,5,1.333,2020-03-05
44,37,17,1.85,2020-03-06
45,43,6,1.162,2020-03-07
46,61,18,1.418,2020-03-08
47,61,0,1.0,2020-03-09
48,75,14,1.229,2020-03-10
49,79,4,1.053,2020-03-11
50,100,21,1.265,2020-03-12
51,126,26,1.26,2020-03-13
52,155,29,1.230,2020-03-14
53,213,58,1.374,2020-03-15
54,218,5,1.023,2020-03-16
55,250,32,1.146,2020-03-17
56,304,54,1.216,2020-03-18
57,427,123,1.404,2020-03-19
58,529,102,1.238,2020-03-20
59,712,183,1.345,2020-03-21
60,883,171,1.240,2020-03-22
61,1071,188,1.212,2020-03-23
62,1238,167,1.155,2020-03-24
63,2369,1131,1.913,2020-03-25
64,2693,324,1.136,2020-03-26
65,3035,342,1.126,2020-03-27
66,3619,584,1.192,2020-03-28
67,4247,628,1.173,2020-03-29
68,4695,448,1.105,2020-03-30
69,5358,663,1.141,2020-03-31
70,6092,734,1.136,2020-04-01
71,6857,765,1.125,2020-04-02
72,7428,571,1.083,2020-04-03
73,7851,423,1.056,2020-04-04
74,8430,579,1.073,2020-04-05
75,8904,474,1.056,2020-04-06
76,9248,344,1.038,2020-04-07
77,9404,156,1.016,2020-04-08
78,9968,564,1.059,2020-04-09
79,10408,440,1.044,2020-04-10
80,10743,335,1.032,2020-04-11
81,11145,402,1.037,2020-04-12
