day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,2,1,2.0,2020-03-12
51,8,6,4.0,2020-03-13
52,8,0,1.0,2020-03-14
53,10,2,1.25,2020-03-15
54,10,0,1.0,2020-03-16
55,12,2,1.2,2020-03-17
56,13,1,1.083,2020-03-18
57,15,2,1.153,2020-03-19
58,16,1,1.066,2020-03-20
59,16,0,1.0,2020-03-21
60,19,3,1.187,2020-03-22
61,19,0,1.0,2020-03-23
62,21,2,1.105,2020-03-24
63,26,5,1.238,2020-03-25
64,26,0,1.0,2020-03-26
65,26,0,1.0,2020-03-27
66,30,4,1.153,2020-03-28
67,32,2,1.066,2020-03-29
68,36,4,1.125,2020-03-30
69,36,0,1.0,2020-03-31
70,44,8,1.222,2020-04-01
71,47,3,1.068,2020-04-02
72,47,0,1.0,2020-04-03
73,53,6,1.127,2020-04-04
74,58,5,1.094,2020-04-05
75,58,0,1.0,2020-04-06
76,63,5,1.086,2020-04-07
77,63,0,1.0,2020-04-08
78,63,0,1.0,2020-04-09
79,63,0,1.0,2020-04-10
80,65,2,1.031,2020-04-11
81,69,4,1.061,2020-04-12
82,73,4,1.057,2020-04-13
83,73,0,1.0,2020-04-14
84,125,52,1.712,2020-04-15
85,143,18,1.144,2020-04-16
86,143,0,1.0,2020-04-17
87,163,20,1.139,2020-04-18
88,173,10,1.061,2020-04-19
89,223,50,1.289,2020-04-20
90,223,0,1.0,2020-04-21
91,233,10,1.044,2020-04-22
92,257,24,1.103,2020-04-23
