day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,2,0,1.0,2020-01-23
2,2,0,1.0,2020-01-24
3,2,0,1.0,2020-01-25
4,4,2,2.0,2020-01-26
5,4,0,1.0,2020-01-27
6,7,3,1.75,2020-01-28
7,7,0,1.0,2020-01-29
8,11,4,1.571,2020-01-30
9,15,4,1.363,2020-01-31
10,20,5,1.333,2020-02-01
11,20,0,1.0,2020-02-02
12,20,0,1.0,2020-02-03
13,22,2,1.1,2020-02-04
14,22,0,1.0,2020-02-05
15,22,0,1.0,2020-02-06
16,25,3,1.136,2020-02-07
17,25,0,1.0,2020-02-08
18,26,1,1.04,2020-02-09
19,26,0,1.0,2020-02-10
20,26,0,1.0,2020-02-11
21,28,2,1.076,2020-02-12
22,28,0,1.0,2020-02-13
23,29,1,1.035,2020-02-14
24,43,14,1.482,2020-02-15
25,59,16,1.372,2020-02-16
26,66,7,1.118,2020-02-17
27,74,8,1.121,2020-02-18
28,84,10,1.135,2020-02-19
29,94,10,1.119,2020-02-20
30,105,11,1.117,2020-02-21
31,122,17,1.161,2020-02-22
32,147,25,1.204,2020-02-23
33,159,12,1.081,2020-02-24
34,170,11,1.069,2020-02-25
35,189,19,1.111,2020-02-26
36,214,25,1.132,2020-02-27
37,228,14,1.065,2020-02-28
38,241,13,1.057,2020-02-29
39,256,15,1.062,2020-03-01
40,274,18,1.070,2020-03-02
41,293,19,1.069,2020-03-03
42,331,38,1.129,2020-03-04
43,360,29,1.087,2020-03-05
44,420,60,1.166,2020-03-06
45,461,41,1.097,2020-03-07
46,502,41,1.088,2020-03-08
47,511,9,1.017,2020-03-09
48,581,70,1.136,2020-03-10
49,639,58,1.099,2020-03-11
50,659,20,1.031,2020-03-12
51,701,42,1.063,2020-03-13
52,773,72,1.102,2020-03-14
53,839,66,1.085,2020-03-15
54,839,0,1.0,2020-03-16
55,878,39,1.046,2020-03-17
56,889,11,1.012,2020-03-18
57,924,35,1.039,2020-03-19
58,963,39,1.042,2020-03-20
59,1007,44,1.045,2020-03-21
60,1101,94,1.093,2020-03-22
61,1128,27,1.024,2020-03-23
62,1193,65,1.057,2020-03-24
63,1307,114,1.095,2020-03-25
64,1387,80,1.061,2020-03-26
65,1468,81,1.058,2020-03-27
66,1693,225,1.153,2020-03-28
67,1866,173,1.102,2020-03-29
68,1866,0,1.0,2020-03-30
69,1953,87,1.046,2020-03-31
70,2178,225,1.115,2020-04-01
71,2495,317,1.145,2020-04-02
72,2617,122,1.048,2020-04-03
73,3139,522,1.199,2020-04-04
74,3139,0,1.0,2020-04-05
75,3654,515,1.164,2020-04-06
76,3906,252,1.068,2020-04-07
77,4257,351,1.089,2020-04-08
78,4667,410,1.096,2020-04-09
79,5530,863,1.184,2020-04-10
80,6005,475,1.085,2020-04-11
81,6748,743,1.123,2020-04-12
82,7370,622,1.092,2020-04-13
83,7645,275,1.037,2020-04-14
84,8100,455,1.059,2020-04-15
85,8626,526,1.064,2020-04-16
86,9787,1161,1.134,2020-04-17
87,10296,509,1.052,2020-04-18
88,10797,501,1.048,2020-04-19
89,10797,0,1.0,2020-04-20
90,11135,338,1.031,2020-04-21
91,11512,377,1.033,2020-04-22
92,12368,856,1.074,2020-04-23
