day,cases,cases_new,growth,date
50,1,1,1.0,2020-03-12
51,4,3,4.0,2020-03-13
52,6,2,1.5,2020-03-14
53,9,3,1.5,2020-03-15
54,10,1,1.111,2020-03-16
55,33,23,3.3,2020-03-17
56,35,2,1.060,2020-03-18
57,44,9,1.257,2020-03-19
58,49,5,1.113,2020-03-20
59,53,4,1.081,2020-03-21
60,60,7,1.132,2020-03-22
61,62,2,1.033,2020-03-23
62,72,10,1.161,2020-03-24
63,81,9,1.125,2020-03-25
64,111,30,1.370,2020-03-26
65,150,39,1.351,2020-03-27
66,228,78,1.52,2020-03-28
67,284,56,1.245,2020-03-29
68,302,18,1.063,2020-03-30
69,343,41,1.135,2020-03-31
70,380,37,1.107,2020-04-01
71,435,55,1.144,2020-04-02
72,464,29,1.066,2020-04-03
73,531,67,1.144,2020-04-04
74,584,53,1.099,2020-04-05
75,662,78,1.133,2020-04-06
76,697,35,1.052,2020-04-07
77,727,30,1.043,2020-04-08
78,781,54,1.074,2020-04-09
79,812,31,1.039,2020-04-10
80,865,53,1.065,2020-04-11
81,951,86,1.099,2020-04-12
82,1091,140,1.147,2020-04-13
83,1232,141,1.129,2020-04-14
84,1295,63,1.051,2020-04-15
85,1402,107,1.082,2020-04-16
86,1546,144,1.102,2020-04-17
87,1615,69,1.044,2020-04-18
88,1676,61,1.037,2020-04-19
89,1852,176,1.105,2020-04-20
90,1995,143,1.077,2020-04-21
91,2135,140,1.070,2020-04-22
92,2289,154,1.072,2020-04-23
93,2482,193,1.084,2020-04-24
94,2601,119,1.047,2020-04-25
95,2717,116,1.044,2020-04-26
96,2835,118,1.043,2020-04-27
97,3027,192,1.067,2020-04-28
98,3138,111,1.036,2020-04-29
99,3402,264,1.084,2020-04-30
100,3597,195,1.057,2020-05-01
101,3857,260,1.072,2020-05-02
102,3920,63,1.016,2020-05-03
103,4049,129,1.032,2020-05-04
104,4205,156,1.038,2020-05-05
105,4422,217,1.051,2020-05-06
106,4578,156,1.035,2020-05-07
107,4834,256,1.055,2020-05-08
108,4975,141,1.029,2020-05-09
109,5090,115,1.023,2020-05-10
110,5207,117,1.022,2020-05-11
111,5279,72,1.013,2020-05-12
112,5417,138,1.026,2020-05-13
113,5571,154,1.028,2020-05-14
114,5689,118,1.021,2020-05-15
115,5850,161,1.028,2020-05-16
116,6157,307,1.052,2020-05-17
117,6751,594,1.096,2020-05-18
118,6751,0,1.0,2020-05-19
119,6969,218,1.032,2020-05-20
120,7234,265,1.038,2020-05-21
121,7919,685,1.094,2020-05-22
122,7919,0,1.0,2020-05-23
123,8531,612,1.077,2020-05-24
