day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,3,2,3.0,2020-03-15
54,3,0,1.0,2020-03-16
55,3,0,1.0,2020-03-17
56,3,0,1.0,2020-03-18
57,7,4,2.333,2020-03-19
58,7,0,1.0,2020-03-20
59,7,0,1.0,2020-03-21
60,15,8,2.142,2020-03-22
61,16,1,1.066,2020-03-23
62,25,9,1.562,2020-03-24
63,28,3,1.12,2020-03-25
64,31,3,1.107,2020-03-26
65,31,0,1.0,2020-03-27
66,38,7,1.225,2020-03-28
67,42,4,1.105,2020-03-29
68,50,8,1.190,2020-03-30
69,59,9,1.18,2020-03-31
70,81,22,1.372,2020-04-01
71,110,29,1.358,2020-04-02
72,122,12,1.109,2020-04-03
