day,cases,cases_new,growth,date
64,71,71,1.0,2020-03-26
65,86,15,1.211,2020-03-27
66,91,5,1.058,2020-03-28
67,94,3,1.032,2020-03-29
68,94,0,1.0,2020-03-30
69,112,18,1.191,2020-03-31
70,125,13,1.116,2020-04-01
71,125,0,1.0,2020-04-02
72,126,1,1.008,2020-04-03
73,135,9,1.071,2020-04-04
74,145,10,1.074,2020-04-05
75,145,0,1.0,2020-04-06
76,170,25,1.172,2020-04-07
77,184,14,1.082,2020-04-08
78,184,0,1.0,2020-04-09
79,250,66,1.358,2020-04-10
80,283,33,1.132,2020-04-11
81,283,0,1.0,2020-04-12
82,283,0,1.0,2020-04-13
83,387,104,1.367,2020-04-14
84,387,0,1.0,2020-04-15
85,449,62,1.160,2020-04-16
86,480,31,1.069,2020-04-17
87,510,30,1.062,2020-04-18
88,561,51,1.1,2020-04-19
89,598,37,1.065,2020-04-20
90,604,6,1.010,2020-04-21
91,630,26,1.043,2020-04-22
92,669,39,1.061,2020-04-23
93,703,34,1.050,2020-04-24
94,731,28,1.039,2020-04-25
95,763,32,1.043,2020-04-26
96,780,17,1.022,2020-04-27
97,790,10,1.012,2020-04-28
98,799,9,1.011,2020-04-29
99,806,7,1.008,2020-04-30
100,806,0,1.0,2020-05-01
101,823,17,1.021,2020-05-02
102,851,28,1.034,2020-05-03
103,855,4,1.004,2020-05-04
104,856,1,1.001,2020-05-05
105,856,0,1.0,2020-05-06
106,861,5,1.005,2020-05-07
107,861,0,1.0,2020-05-08
108,862,1,1.001,2020-05-09
109,870,8,1.009,2020-05-10
110,884,14,1.016,2020-05-11
111,919,35,1.039,2020-05-12
112,919,0,1.0,2020-05-13
113,944,25,1.027,2020-05-14
114,944,0,1.0,2020-05-15
115,944,0,1.0,2020-05-16
116,955,11,1.011,2020-05-17
117,955,0,1.0,2020-05-18
118,989,34,1.035,2020-05-19
119,989,0,1.0,2020-05-20
120,1003,14,1.014,2020-05-21
121,1004,1,1.000,2020-05-22
122,1025,21,1.020,2020-05-23
123,1032,7,1.006,2020-05-24
