day,cases,cases_new,growth,date
33,1,1,1.0,2020-02-24
34,11,10,11.0,2020-02-25
35,26,15,2.363,2020-02-26
36,43,17,1.653,2020-02-27
37,45,2,1.046,2020-02-28
38,45,0,1.0,2020-02-29
39,45,0,1.0,2020-03-01
40,56,11,1.244,2020-03-02
41,56,0,1.0,2020-03-03
42,56,0,1.0,2020-03-04
43,58,2,1.035,2020-03-05
44,58,0,1.0,2020-03-06
45,61,3,1.051,2020-03-07
46,64,3,1.049,2020-03-08
47,64,0,1.0,2020-03-09
48,69,5,1.078,2020-03-10
49,72,3,1.043,2020-03-11
50,80,8,1.111,2020-03-12
51,80,0,1.0,2020-03-13
52,104,24,1.3,2020-03-14
53,112,8,1.076,2020-03-15
54,123,11,1.098,2020-03-16
55,130,7,1.056,2020-03-17
56,142,12,1.092,2020-03-18
57,148,6,1.042,2020-03-19
58,159,11,1.074,2020-03-20
59,176,17,1.106,2020-03-21
60,188,12,1.068,2020-03-22
61,189,1,1.005,2020-03-23
62,191,2,1.010,2020-03-24
63,195,4,1.020,2020-03-25
64,208,13,1.066,2020-03-26
65,225,17,1.081,2020-03-27
66,235,10,1.044,2020-03-28
67,255,20,1.085,2020-03-29
68,266,11,1.043,2020-03-30
69,289,23,1.086,2020-03-31
70,317,28,1.096,2020-04-01
71,342,25,1.078,2020-04-02
72,417,75,1.219,2020-04-03
73,479,62,1.148,2020-04-04
74,556,77,1.160,2020-04-05
75,665,109,1.196,2020-04-06
76,743,78,1.117,2020-04-07
77,855,112,1.150,2020-04-08
78,910,55,1.064,2020-04-09
79,993,83,1.091,2020-04-10
80,1154,161,1.162,2020-04-11
81,1234,80,1.069,2020-04-12
82,1300,66,1.053,2020-04-13
83,1355,55,1.042,2020-04-14
84,1405,50,1.036,2020-04-15
85,1524,119,1.084,2020-04-16
86,1658,134,1.087,2020-04-17
87,1751,93,1.056,2020-04-18
88,1915,164,1.093,2020-04-19
89,1995,80,1.041,2020-04-20
90,2080,85,1.042,2020-04-21
91,2248,168,1.080,2020-04-22
92,2399,151,1.067,2020-04-23
