day,cases,cases_new,growth,date
56,3,3,1.0,2020-03-18
57,3,0,1.0,2020-03-19
58,6,3,2.0,2020-03-20
59,14,8,2.333,2020-03-21
60,14,0,1.0,2020-03-22
61,16,2,1.142,2020-03-23
62,42,26,2.625,2020-03-24
63,44,2,1.047,2020-03-25
64,44,0,1.0,2020-03-26
65,58,14,1.318,2020-03-27
66,58,0,1.0,2020-03-28
67,84,26,1.448,2020-03-29
68,94,10,1.119,2020-03-30
69,107,13,1.138,2020-03-31
70,111,4,1.037,2020-04-01
71,116,5,1.045,2020-04-02
72,130,14,1.120,2020-04-03
73,144,14,1.107,2020-04-04
74,147,3,1.020,2020-04-05
75,216,69,1.469,2020-04-06
76,228,12,1.055,2020-04-07
77,270,42,1.184,2020-04-08
78,280,10,1.037,2020-04-09
79,298,18,1.064,2020-04-10
80,339,41,1.137,2020-04-11
81,377,38,1.112,2020-04-12
82,419,42,1.111,2020-04-13
83,430,11,1.026,2020-04-14
84,449,19,1.044,2020-04-15
85,466,17,1.037,2020-04-16
86,489,23,1.049,2020-04-17
87,506,17,1.034,2020-04-18
88,554,48,1.094,2020-04-19
89,568,14,1.025,2020-04-20
90,590,22,1.038,2020-04-21
91,612,22,1.037,2020-04-22
92,631,19,1.031,2020-04-23
93,665,34,1.053,2020-04-24
94,665,0,1.0,2020-04-25
95,682,17,1.025,2020-04-26
96,695,13,1.019,2020-04-27
97,708,13,1.018,2020-04-28
98,729,21,1.029,2020-04-29
99,746,17,1.023,2020-04-30
100,756,10,1.013,2020-05-01
101,769,13,1.017,2020-05-02
102,795,26,1.033,2020-05-03
103,830,35,1.044,2020-05-04
104,843,13,1.015,2020-05-05
105,871,28,1.033,2020-05-06
106,895,24,1.027,2020-05-07
107,906,11,1.012,2020-05-08
108,931,25,1.027,2020-05-09
109,1002,71,1.076,2020-05-10
110,1016,14,1.013,2020-05-11
111,1037,21,1.020,2020-05-12
112,1044,7,1.006,2020-05-13
113,1082,38,1.036,2020-05-14
114,1111,29,1.026,2020-05-15
115,1117,6,1.005,2020-05-16
116,1138,21,1.018,2020-05-17
117,1216,78,1.068,2020-05-18
118,1243,27,1.022,2020-05-19
119,1270,27,1.021,2020-05-20
120,1313,43,1.033,2020-05-21
121,1350,37,1.028,2020-05-22
122,1365,15,1.011,2020-05-23
123,1403,38,1.027,2020-05-24
