day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,2,1,2.0,2020-03-08
47,6,4,3.0,2020-03-09
48,8,2,1.333,2020-03-10
49,10,2,1.25,2020-03-11
50,12,2,1.2,2020-03-12
51,17,5,1.416,2020-03-13
52,26,9,1.529,2020-03-14
53,30,4,1.153,2020-03-15
54,34,4,1.133,2020-03-16
55,49,15,1.441,2020-03-17
56,71,22,1.448,2020-03-18
57,86,15,1.211,2020-03-19
58,111,25,1.290,2020-03-20
59,124,13,1.117,2020-03-21
60,139,15,1.120,2020-03-22
61,180,41,1.294,2020-03-23
62,197,17,1.094,2020-03-24
63,221,24,1.121,2020-03-25
64,244,23,1.104,2020-03-26
65,280,36,1.147,2020-03-27
66,305,25,1.089,2020-03-28
67,347,42,1.137,2020-03-29
68,376,29,1.083,2020-03-30
69,398,22,1.058,2020-03-31
70,446,48,1.120,2020-04-01
71,458,12,1.026,2020-04-02
72,493,35,1.076,2020-04-03
73,509,16,1.032,2020-04-04
74,533,24,1.047,2020-04-05
75,542,9,1.016,2020-04-06
76,548,6,1.011,2020-04-07
77,577,29,1.052,2020-04-08
78,589,12,1.020,2020-04-09
79,612,23,1.039,2020-04-10
80,630,18,1.029,2020-04-11
81,651,21,1.033,2020-04-12
82,655,4,1.006,2020-04-13
83,657,2,1.003,2020-04-14
84,666,9,1.013,2020-04-15
85,675,9,1.013,2020-04-16
86,682,7,1.010,2020-04-17
87,712,30,1.043,2020-04-18
88,727,15,1.021,2020-04-19
89,739,12,1.016,2020-04-20
90,748,9,1.012,2020-04-21
91,761,13,1.017,2020-04-22
92,778,17,1.022,2020-04-23
93,784,6,1.007,2020-04-24
94,804,20,1.025,2020-04-25
95,812,8,1.009,2020-04-26
96,818,6,1.007,2020-04-27
97,836,18,1.022,2020-04-28
98,849,13,1.015,2020-04-29
99,858,9,1.010,2020-04-30
100,870,12,1.013,2020-05-01
101,871,1,1.001,2020-05-02
102,879,8,1.009,2020-05-03
103,896,17,1.019,2020-05-04
104,896,0,1.0,2020-05-05
105,900,4,1.004,2020-05-06
106,909,9,1.01,2020-05-07
107,928,19,1.020,2020-05-08
108,930,2,1.002,2020-05-09
109,939,9,1.009,2020-05-10
110,946,7,1.007,2020-05-11
111,950,4,1.004,2020-05-12
112,951,1,1.001,2020-05-13
113,962,11,1.011,2020-05-14
114,970,8,1.008,2020-05-15
115,997,27,1.027,2020-05-16
116,1008,11,1.011,2020-05-17
117,1009,1,1.000,2020-05-18
118,1012,3,1.002,2020-05-19
119,1016,4,1.003,2020-05-20
120,1025,9,1.008,2020-05-21
121,1030,5,1.004,2020-05-22
122,1046,16,1.015,2020-05-23
123,1047,1,1.000,2020-05-24
